,ID,BRAND,recency,frequency,tenure
0,000AHHU956,RetroReel,10,1,10
1,000AHHU956,SilverScreen Classics,170,0,170
2,000AHHU956,TimeCapsule TV,53,1,67
3,000AUEW012,Adrenaline,17,1,17
4,000AUEW012,DarkMatter,162,1,162
5,000BRHY264,CineQuest,6,0,6
6,000BRWF792,TimeCapsule TV,24,1,106
7,000BSTV267,SilverScreen Classics,176,1,176
8,000CLSM229,Adrenaline,1,0,1
9,000CLSM229,DarkMatter,127,1,127
10,000DJKK225,CineQuest,24,0,24
11,000DTPC747,LimeLight,68,1,68
12,000ELOE240,LimeLight,83,1,172
13,000ENIY291,LimeLight,127,1,127
14,000ENIY291,RetroReel,16,1,16
15,000ESDW551,RetroReel,48,0,48
16,000ESDW551,TimeCapsule TV,11,1,11
17,000EXRF680,TasteMakers,34,2,43
18,000FJHB065,RetroReel,44,2,174
19,000GTIY258,Pulse,156,0,156
20,000IYQE492,DarkMatter,9,1,9
21,000KEZL712,Adrenaline,143,1,143
22,000KGEM860,CineQuest,49,1,73
23,000KGEM860,RetroReel,74,2,156
24,000KGEM860,SilverScreen Classics,62,1,62
25,000KGEM860,TimeCapsule TV,61,1,61
26,000KXBG202,DesignLab,4,1,4
27,000KXBG202,TasteMakers,149,0,149
28,000LPBE125,PopCulture Now,80,2,168
29,000LZCB553,RetroReel,54,1,54
30,000NHUB915,Adrenaline,32,1,100
31,000NHUB915,DarkMatter,160,1,160
32,000NKPB626,ChillStream,111,1,111
33,000ORNZ823,CineQuest,39,1,39
34,000PGCL630,ChillStream,15,1,168
35,000PISH142,Adrenaline,150,0,150
36,000QEVH452,LimeLight,61,0,61
37,000RCRI318,RetroReel,134,0,134
38,000RJCH773,Adrenaline,179,1,179
39,000RKIJ792,Pulse,45,1,149
40,000SDWN043,PopCulture Now,8,1,8
41,000SDWN043,TasteMakers,178,1,178
42,000SJSR665,Pulse,156,1,156
43,000SKUY871,TasteMakers,97,1,97
44,000TFKR237,RetroReel,7,2,99
45,000TMFK922,CineQuest,10,2,151
46,000TMFK922,Pulse,30,1,35
47,000TOJT688,ChillStream,37,2,143
48,000TOJT688,LimeLight,71,1,157
49,000TOJT688,Pulse,135,1,179
50,000TQOV267,Adrenaline,128,1,128
51,000TQOV267,DarkMatter,77,1,77
52,000TXEC968,SilverScreen Classics,160,1,160
53,000UCAC008,CineQuest,48,1,158
54,000UDLC337,SilverScreen Classics,114,1,162
55,000UDLC337,TimeCapsule TV,76,0,76
56,000UPJQ162,RetroReel,57,1,57
57,000UPJQ162,SilverScreen Classics,20,1,20
58,000UPJQ162,TimeCapsule TV,41,1,41
59,000UQTO352,Pulse,42,0,42
60,000UQTO352,TasteMakers,10,1,30
61,000UTKY023,Pulse,23,0,23
62,000UTYS739,DesignLab,25,1,25
63,000UTYS739,PopCulture Now,140,0,140
64,000VITQ690,CineQuest,90,1,90
65,000VIUE148,SilverScreen Classics,29,1,163
66,000VJAK195,PopCulture Now,145,0,145
67,000VLET636,RetroReel,22,2,47
68,000WBBF932,SilverScreen Classics,95,1,95
69,000XDWZ723,SilverScreen Classics,12,0,12
70,000XOEM996,Adrenaline,122,1,122
71,000XORN373,ChillStream,37,0,37
72,000XYZK575,Adrenaline,18,1,18
73,000XYZK575,Pulse,140,1,140
74,000YBDY680,Pulse,129,0,129
75,000YDXA553,PopCulture Now,126,1,126
76,000YDXA553,TasteMakers,31,1,31
77,000YRER318,CineQuest,60,0,60
78,000YUBG396,RetroReel,20,1,20
79,000YUBG396,SilverScreen Classics,13,1,94
80,000YWTK044,Adrenaline,170,1,170
81,000YWTK044,DarkMatter,120,1,120
