,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,last_6m_REVENUE,LTVCluster,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value
0,001DJNA725,LimeLight,34,79.99,1,2,0,1,3,79.99,1,0,0,1
1,002CNQR282,LimeLight,161,80.0,1,0,0,1,1,60.03,1,0,1,0
2,002CUYF788,LimeLight,100,79.56,1,1,0,1,2,20.0,0,0,1,0
3,002NKQR179,LimeLight,40,67.14,1,2,0,1,3,60.0,1,0,0,1
4,003AEKA966,LimeLight,90,13.18,1,1,0,0,1,80.0,1,0,1,0
5,003ANID263,LimeLight,84,79.96,1,1,0,1,2,139.92999999999998,2,0,1,0
6,003JXTS440,LimeLight,159,20.03,1,0,0,0,0,80.0,1,0,1,0
7,003YZJM392,LimeLight,153,20.01,2,0,1,0,1,100.0,2,0,1,0
8,004AMJN950,LimeLight,171,120.0,1,0,0,2,2,20.01,0,0,1,0
9,004BTTQ071,LimeLight,98,20.01,1,1,0,0,1,99.94999999999999,2,0,1,0
10,004JVWK677,LimeLight,85,79.96,1,1,0,1,2,79.96,1,0,1,0
11,004KQJC323,LimeLight,110,59.97,1,1,0,1,2,99.99000000000001,2,0,1,0
12,004POHC309,LimeLight,63,59.97,1,1,0,1,2,80.05000000000001,1,0,1,0
13,004SFGA279,LimeLight,21,119.94,1,2,0,2,4,80.02,1,0,0,1
14,005BCIQ004,LimeLight,103,80.0,1,1,0,1,2,79.99,1,0,1,0
15,005CVMO725,LimeLight,71,59.94,2,1,1,1,3,80.0,1,0,0,1
16,005IKHP676,LimeLight,56,40.0,2,2,1,0,3,20.01,0,0,0,1
17,005JAMG408,LimeLight,116,79.99,1,1,0,1,2,20.0,0,0,1,0
18,005MQWT219,LimeLight,177,119.88,1,0,0,2,2,20.0,0,0,1,0
19,005PXUP242,LimeLight,47,80.0,1,2,0,1,3,114.94000000000001,2,0,0,1
20,005TQVA378,LimeLight,100,60.0,1,1,0,1,2,80.04,1,0,1,0
