,Unnamed: 0,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,last_6m_REVENUE,LTVCluster,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value
0,3,000EFUI271,LimeLight,0,80.01,1,2,0,1,3,0.0,0,0,0,1
1,4,000ELOE240,LimeLight,66,0.0,1,1,0,0,1,80.01,1,0,1,0
2,15,000PDZG668,LimeLight,0,80.01,1,2,0,1,3,0.0,0,0,0,1
3,18,000QEVH452,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
4,21,000SDWN043,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
5,26,000TOJT688,LimeLight,0,140.07000000000002,2,2,1,2,5,100.04999999999998,1,1,0,0
6,33,000UQTO352,LimeLight,81,60.06,2,1,1,0,2,80.01,1,0,1,0
7,44,000ZBDO909,LimeLight,0,140.0,1,2,0,2,4,100.0,1,0,0,1
8,47,001AVSB880,LimeLight,0,140.0,1,2,0,2,4,100.0,1,0,0,1
9,51,001GBJC687,LimeLight,0,140.14,1,2,0,2,4,100.1,1,0,0,1
10,52,001GUVF664,LimeLight,0,80.01,1,2,0,1,3,59.97,1,0,0,1
11,53,001JDME989,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
12,63,001PIBK965,LimeLight,15,80.06,2,2,1,1,4,57.84,1,0,0,1
13,65,001PKYB529,LimeLight,0,140.0,1,2,0,2,4,40.0,0,0,0,1
14,68,001RBOC950,LimeLight,0,139.92999999999998,1,2,0,2,4,79.96000000000004,1,0,0,1
15,70,001SIVU071,LimeLight,0,140.07000000000002,2,2,1,2,5,120.06000000000004,1,1,0,0
16,74,001TTLN903,LimeLight,0,60.03,3,2,2,0,4,40.02000000000001,0,0,0,1
17,81,001UYQB422,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
18,83,001WKVX393,LimeLight,0,74.58,1,2,0,1,3,74.58,1,0,0,1
19,85,001WZZE262,LimeLight,0,80.0,2,2,1,1,4,0.0,0,0,0,1
20,90,002AOWO547,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
21,93,002CNQR282,LimeLight,0,140.07000000000002,1,2,0,2,4,100.05,1,0,0,1
22,95,002CUYF788,LimeLight,0,140.0,1,2,0,2,4,100.0,1,0,0,1
23,98,002EXCW867,LimeLight,0,140.07000000000002,2,2,1,2,5,100.05,1,1,0,0
24,101,002FIHW100,LimeLight,0,140.07000000000002,2,2,1,2,5,20.01000000000002,0,1,0,0
25,103,002GOMV479,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
26,107,002JYSZ401,LimeLight,0,140.0,1,2,0,2,4,100.0,1,0,0,1
27,111,002MCDO278,LimeLight,0,79.96,1,2,0,1,3,119.93999999999998,1,0,0,1
28,113,002NKQR179,LimeLight,0,140.0,1,2,0,2,4,148.94999999999996,1,0,0,1
29,122,002PPXS156,LimeLight,0,140.07000000000002,1,2,0,2,4,100.01,1,0,0,1
30,123,002PXRI930,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
31,129,002SOIZ089,LimeLight,0,80.02,2,2,1,1,4,0.0,0,0,0,1
32,138,003AEKA966,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
33,140,003ANID263,LimeLight,0,139.92999999999998,1,2,0,2,4,99.95,1,0,0,1
34,146,003GPNN238,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
35,150,003JAJC959,LimeLight,21,100.0,1,2,0,1,3,80.04,1,0,0,1
36,152,003JXTS440,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
37,153,003KGDD155,LimeLight,0,79.98,1,2,0,1,3,0.0,0,0,0,1
38,155,003LTEX955,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
39,157,003NRLM550,LimeLight,0,140.0,1,2,0,2,4,100.0,1,0,0,1
40,164,003TEQR186,LimeLight,0,140.0,2,2,1,2,5,9.120000000000001,0,1,0,0
41,171,003XKHS955,LimeLight,0,100.05,2,2,1,1,4,120.06,1,0,0,1
42,182,004BTTQ071,LimeLight,0,139.92999999999998,1,2,0,2,4,99.95000000000002,1,0,0,1
43,187,004GNEP305,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
44,189,004ILUO342,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
45,194,004JVWK677,LimeLight,0,139.92999999999998,1,2,0,2,4,99.95000000000002,1,0,0,1
46,195,004KQJC323,LimeLight,0,140.07000000000002,1,2,0,2,4,100.04999999999998,1,0,0,1
47,201,004PAMY118,LimeLight,126,39.97999999999996,1,0,0,0,0,80.01,1,0,1,0
48,202,004PMLD524,LimeLight,0,19.99,1,2,0,0,2,119.93999999999998,1,0,1,0
49,209,004SFGA279,LimeLight,0,139.92999999999998,1,2,0,2,4,119.93999999999998,1,0,0,1
50,212,004TECZ734,LimeLight,0,80.01,1,2,0,1,3,0.0,0,0,0,1
51,222,004XMMN681,LimeLight,0,99.95,1,2,0,1,3,119.94,1,0,0,1
52,232,005BCIQ004,LimeLight,0,100.0,1,2,0,1,3,120.0,1,0,0,1
53,234,005CKJF445,LimeLight,0,119.92,1,2,0,2,4,120.0,1,0,0,1
54,241,005CVMO725,LimeLight,0,79.99,2,2,1,1,4,0.0,0,0,0,1
55,250,005ITHJ033,LimeLight,16,120.06,1,2,0,2,4,19.99,0,0,0,1
56,251,005IZSJ697,LimeLight,0,139.92999999999998,1,2,0,2,4,99.95,1,0,0,1
57,252,005JAMG408,LimeLight,0,140.0,1,2,0,2,4,100.0,1,0,0,1
58,255,005LMLD320,LimeLight,0,99.95,1,2,0,1,3,119.94,1,0,0,1
59,256,005MQWT219,LimeLight,0,20.01,1,2,0,0,2,219.90000000000003,2,0,1,0
60,261,005PUYF561,LimeLight,0,100.05,1,2,0,1,3,120.06,1,0,0,1
61,265,005RCWZ068,LimeLight,0,60.03,2,2,1,0,3,120.06,1,0,0,1
62,270,005TQVA378,LimeLight,0,140.07000000000002,1,2,0,2,4,100.04999999999998,1,0,0,1
63,271,005TXTH594,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
64,279,006BIGJ762,LimeLight,0,140.07000000000002,2,2,1,2,5,100.05,1,1,0,0
65,283,006CSAF205,LimeLight,129,79.99000000000001,1,0,0,1,1,40.0,0,0,1,0
66,286,006FKZP530,LimeLight,0,139.92999999999998,1,2,0,2,4,99.95,1,0,0,1
67,288,006GNTK163,LimeLight,0,139.86,1,2,0,2,4,99.89999999999998,1,0,0,1
68,289,006IDRX772,LimeLight,0,79.36,1,2,0,1,3,0.0,0,0,0,1
69,297,006RHZT505,LimeLight,0,33.5,2,2,1,0,3,120.06000000000002,1,0,0,1
70,304,006WTSZ851,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
71,311,007DQLA070,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
72,316,007GCJV175,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
73,320,007HNUM396,LimeLight,0,80.04,1,2,0,1,3,120.06000000000002,1,0,0,1
74,325,007JGRB024,LimeLight,0,98.86,1,2,0,1,3,112.92000000000002,1,0,0,1
75,330,007KYTZ045,LimeLight,0,59.97,1,2,0,0,2,119.94,1,0,1,0
76,334,007NELM107,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
77,337,007QFCY161,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
78,362,008DEJF778,LimeLight,0,80.0,1,2,0,1,3,40.0,0,0,0,1
79,365,008ETUJ347,LimeLight,0,140.0,1,2,0,2,4,100.0,1,0,0,1
80,375,008LORV934,LimeLight,0,140.0,1,2,0,2,4,100.0,1,0,0,1
81,379,008NBCW660,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
82,385,008RBZM621,LimeLight,0,79.98,1,2,0,1,3,0.0,0,0,0,1
83,387,008RWKF805,LimeLight,0,139.92999999999998,1,2,0,2,4,119.94000000000004,1,0,0,1
84,397,009BNUY561,LimeLight,0,80.01,1,2,0,1,3,-80.01,0,0,0,1
85,398,009BYWQ378,LimeLight,0,80.01,1,2,0,1,3,60.03,1,0,0,1
86,404,009HIOA323,LimeLight,0,79.99,1,2,0,1,3,0.0,0,0,0,1
87,410,009MCBT205,LimeLight,0,100.0,1,2,0,1,3,140.0,1,0,0,1
88,412,009MNVS084,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
89,415,009OAZT384,LimeLight,0,140.0,1,2,0,2,4,100.0,1,0,0,1
90,421,009SDTY662,LimeLight,0,139.92999999999998,1,2,0,2,4,99.95,1,0,0,1
91,423,009WCWO485,LimeLight,13,120.0,1,2,0,2,4,20.0,0,0,0,1
92,425,009YWEP229,LimeLight,56,220.09,1,1,0,3,4,80.04,1,0,0,1
93,430,009ZZUD567,LimeLight,0,80.01,1,2,0,1,3,0.0,0,0,0,1
94,431,010ADQH166,LimeLight,0,139.86,1,2,0,2,4,39.98,0,0,0,1
95,438,010FMTD776,LimeLight,0,140.0,4,2,2,2,6,-20.0,0,1,0,0
96,444,010HPEQ987,LimeLight,0,140.07000000000002,1,2,0,2,4,100.05,1,0,0,1
97,446,010KWCU194,LimeLight,0,80.0,1,2,0,1,3,0.0,0,0,0,1
98,447,010LGPV785,LimeLight,0,140.0,1,2,0,2,4,100.0,1,0,0,1
99,449,010MJGC911,LimeLight,0,140.0,1,2,0,2,4,120.0,1,0,0,1
100,455,010PKHU916,LimeLight,0,139.86,2,2,1,2,5,99.9,1,1,0,0
101,465,010SSVA945,LimeLight,0,79.96,1,2,0,1,3,139.93,1,0,0,1
102,468,010UGQJ077,LimeLight,0,19.99,1,2,0,0,2,119.93999999999998,1,0,1,0
103,470,010UZAZ742,LimeLight,0,113.26,2,2,1,1,4,80.89999999999998,1,0,0,1
104,471,010VECF139,LimeLight,0,80.0,2,2,1,1,4,0.0,0,0,0,1
105,475,010XTJU142,LimeLight,0,80.02,1,2,0,1,3,0.0,0,0,0,1
106,482,011ANYH850,LimeLight,0,100.0,1,2,0,1,3,59.97,1,0,0,1
107,488,011CQIW361,LimeLight,0,83.44,1,2,0,1,3,120.0,1,0,0,1
