,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,2023_REVENUE,LTVCluster,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value
0,000DTPC747,LimeLight,152,80.0,1,1,0,0,1,80.0,1,0,1,0
1,000EFUI271,LimeLight,271,80.01,1,0,0,0,0,0.0,0,0,1,0
2,000ELOE240,LimeLight,237,51.62,1,1,0,0,1,160.02,2,0,1,0
3,000PDZG668,LimeLight,321,80.01,1,0,0,0,0,80.01,1,0,1,0
4,000TOJT688,LimeLight,2,20.01,3,2,2,0,4,0.0,0,0,0,1
5,000UQTO352,LimeLight,7,20.02,2,2,1,0,3,160.01,2,0,0,1
6,000ZBDO909,LimeLight,222,160.0,1,1,0,1,2,0.0,0,0,1,0
7,001AVSB880,LimeLight,67,60.0,1,2,0,0,2,0.0,0,0,1,0
8,001DJNA725,LimeLight,95,79.99,1,2,0,0,2,79.99,1,0,1,0
9,001GBJC687,LimeLight,12,20.02,1,2,0,0,2,0.0,0,0,1,0
10,001GUVF664,LimeLight,247,80.01,1,0,0,0,0,139.98000000000002,1,0,1,0
11,001JDME989,LimeLight,21,76.56,1,2,0,0,2,80.0,1,0,1,0
12,001JYOY737,LimeLight,208,140.0,1,1,0,1,2,39.98,0,0,1,0
13,001PIBK965,LimeLight,292,60.06,2,0,1,0,1,77.84,1,0,1,0
14,001PKYB529,LimeLight,73,60.0,1,2,0,0,2,180.0,2,0,1,0
15,001RBOC950,LimeLight,42,39.98,1,2,0,0,2,220.11,2,0,1,0
16,001RLIN262,LimeLight,235,160.08,1,1,0,1,2,60.0,1,0,1,0
17,001SIVU071,LimeLight,357,240.12,3,0,2,2,4,0.0,0,0,0,1
18,001UYQB422,LimeLight,322,80.0,1,0,0,0,0,0.0,0,0,1,0
19,001WKVX393,LimeLight,85,60.0,1,2,0,0,2,149.16,2,0,1,0
20,001WZZE262,LimeLight,335,80.0,1,0,0,0,0,0.0,0,0,1,0
21,001XDRM026,LimeLight,107,180.0,1,2,0,2,4,20.0,0,0,0,1
22,002CNQR282,LimeLight,68,140.03,1,2,0,1,3,0.0,0,0,0,1
23,002CUYF788,LimeLight,24,20.0,1,2,0,0,2,0.0,0,0,1,0
24,002EXCW867,LimeLight,64,60.03,2,2,1,0,3,0.0,0,0,0,1
25,002GOMV479,LimeLight,24,80.0,1,2,0,0,2,0.0,0,0,1,0
26,002JYSZ401,LimeLight,211,260.0,1,1,0,2,3,0.0,0,0,0,1
27,002NKQR179,LimeLight,75,100.04,1,2,0,1,3,181.08999999999997,2,0,0,1
28,002PPXS156,LimeLight,39,120.02,1,2,0,1,3,180.0,2,0,0,1
29,002PXRI930,LimeLight,323,80.0,1,0,0,0,0,0.0,0,0,1,0
30,002QROR117,LimeLight,140,80.01,1,1,0,0,1,79.97,1,0,1,0
31,002SOIZ089,LimeLight,323,80.02,2,0,1,0,1,79.99,1,0,1,0
32,003AEKA966,LimeLight,100,93.18,1,2,0,1,3,0.0,0,0,0,1
33,003ANID263,LimeLight,182,219.89,1,1,0,2,3,0.0,0,0,0,1
34,003GPNN238,LimeLight,58,259.88,1,2,0,2,4,79.99,1,0,0,1
35,003JAJC959,LimeLight,190,140.0,1,1,0,1,2,199.92000000000002,2,0,1,0
36,003JXTS440,LimeLight,55,100.03,1,2,0,1,3,0.0,0,0,0,1
37,003KGDD155,LimeLight,67,79.98,1,2,0,0,2,0.0,0,0,1,0
38,003LTEX955,LimeLight,149,79.99,1,1,0,0,1,0.0,0,0,1,0
39,003NRLM550,LimeLight,130,100.0,1,1,0,1,2,0.0,0,0,1,0
40,003XKHS955,LimeLight,173,41.94,1,1,0,0,1,220.11,2,0,1,0
41,003YZJM392,LimeLight,21,140.02,2,2,1,1,4,108.24,1,0,0,1
42,004AMJN950,LimeLight,179,120.0,1,1,0,1,2,120.06,1,0,1,0
43,004BTTQ071,LimeLight,141,119.96,1,1,0,1,2,0.0,0,0,1,0
44,004GNEP305,LimeLight,249,80.0,1,0,0,0,0,0.0,0,0,1,0
45,004ILUO342,LimeLight,322,79.99,1,0,0,0,0,0.0,0,0,1,0
46,004JVWK677,LimeLight,103,159.92,1,2,0,1,3,0.0,0,0,0,1
47,004KQJC323,LimeLight,15,219.93,1,2,0,2,4,0.0,0,0,0,1
48,004PAMY118,LimeLight,350,239.88,1,0,0,2,2,120.03,1,0,1,0
49,004POHC309,LimeLight,125,140.02,1,1,0,1,2,60.0,1,0,1,0
50,004SFGA279,LimeLight,156,199.96,1,1,0,2,3,219.91999999999996,2,0,0,1
51,004TECZ734,LimeLight,200,80.01,1,1,0,0,1,0.0,0,0,1,0
52,004UOHX798,LimeLight,59,80.0,1,2,0,0,2,80.01,1,0,1,0
53,004XMMN681,LimeLight,258,79.96,1,0,0,0,0,219.89,2,0,1,0
54,005BCIQ004,LimeLight,25,239.99,1,2,0,2,4,220.0,2,0,0,1
55,005CKJF445,LimeLight,108,79.92,1,2,0,0,2,240.0,2,0,1,0
56,005CVMO725,LimeLight,65,139.86,2,2,1,1,4,79.99,1,0,0,1
57,005IKHP676,LimeLight,169,60.0,2,1,1,0,2,31.92,0,0,1,0
58,005ITHJ033,LimeLight,324,220.11,1,0,0,2,2,139.99,1,0,1,0
59,005IZSJ697,LimeLight,86,59.97,1,2,0,0,2,239.88,2,0,1,0
60,005JAMG408,LimeLight,7,99.99,1,2,0,1,3,0.0,0,0,0,1
61,005LMLD320,LimeLight,196,59.97,1,1,0,0,1,219.89,2,0,1,0
62,005MQWT219,LimeLight,170,139.86,1,1,0,1,2,100.05000000000001,1,0,1,0
63,005PUYF561,LimeLight,335,20.0,1,0,0,0,0,220.11,2,0,1,0
64,005PXUP242,LimeLight,182,194.94,1,1,0,2,3,39.98,0,0,0,1
65,005PXZW655,LimeLight,240,59.97,2,0,1,0,1,0.0,0,0,1,0
66,005QWTZ542,LimeLight,225,100.0,1,1,0,1,2,119.94,1,0,1,0
67,005RCWZ068,LimeLight,7,240.0,2,2,1,2,5,180.09,2,1,0,0
68,005TQVA378,LimeLight,110,140.04000000000002,1,2,0,1,3,0.0,0,0,0,1
69,005TXTH594,LimeLight,218,159.98,1,1,0,1,2,0.0,0,0,1,0
70,006BIGJ762,LimeLight,245,180.09,1,0,0,2,2,0.0,0,0,1,0
71,006CSAF205,LimeLight,125,159.95,1,1,0,1,2,80.02000000000001,1,0,1,0
72,006DQSO238,LimeLight,150,79.99,2,1,1,0,2,0.0,0,0,1,0
73,006FKZP530,LimeLight,257,219.91,1,0,0,2,2,0.0,0,0,1,0
74,006GNTK163,LimeLight,282,199.8,1,0,0,2,2,0.0,0,0,1,0
75,006IDRX772,LimeLight,219,79.36,1,1,0,0,1,80.0,1,0,1,0
76,006RHZT505,LimeLight,71,40.47,2,2,1,0,3,180.09000000000003,2,0,0,1
77,006WTSZ851,LimeLight,118,79.99,1,1,0,0,1,0.0,0,0,1,0
78,007DQLA070,LimeLight,352,80.0,1,0,0,0,0,0.0,0,0,1,0
79,007HNUM396,LimeLight,72,160.16,1,2,0,1,3,200.10000000000002,2,0,0,1
80,007IAJO670,LimeLight,132,80.0,1,1,0,0,1,80.0,1,0,1,0
81,007JGRB024,LimeLight,100,80.04,1,2,0,0,2,231.79000000000002,2,0,1,0
82,007JOPC871,LimeLight,177,118.68,1,1,0,1,2,140.0,1,0,1,0
83,007KYTZ045,LimeLight,116,211.44,1,1,0,2,3,179.91,2,0,0,1
84,007NELM107,LimeLight,240,79.99,1,0,0,0,0,0.0,0,0,1,0
85,007QFVA399,LimeLight,311,220.0,1,0,0,2,2,202.72,2,0,1,0
86,008DFCS661,LimeLight,124,149.15,1,1,0,1,2,40.02,0,0,1,0
87,008ENDY646,LimeLight,246,79.96,1,0,0,0,0,40.02,0,0,1,0
88,008ETUJ347,LimeLight,162,120.0,1,1,0,1,2,0.0,0,0,1,0
89,008LORV934,LimeLight,137,180.01,1,1,0,2,3,0.0,0,0,0,1
90,008NBCW660,LimeLight,267,79.99,1,0,0,0,0,0.0,0,0,1,0
91,008RBZM621,LimeLight,67,79.98,1,2,0,0,2,0.0,0,0,1,0
92,008RWKF805,LimeLight,87,59.97,1,2,0,0,2,0.0,0,0,1,0
93,009BNUY561,LimeLight,93,80.01,1,2,0,0,2,80.0,1,0,1,0
94,009BYWQ378,LimeLight,310,80.01,1,0,0,0,0,140.01999999999998,1,0,1,0
95,009HIOA323,LimeLight,240,79.99,1,0,0,0,0,0.0,0,0,1,0
96,009ILTP035,LimeLight,262,79.99,1,0,0,0,0,80.01,1,0,1,0
97,009MCBT205,LimeLight,111,180.0,1,2,0,2,4,240.0,2,0,0,1
98,009MNVS084,LimeLight,347,80.01,1,0,0,0,0,80.0,1,0,1,0
