,ID,BRAND,SUB_STATUS,TERM,AMOUNT,PARTITION_DATE,YEAR_MONTH,VALID_TRANSITION
2,000AHHU956,RetroReel,expired,monthly,30.0,2023-10-28,2023-10,True
3,000AHHU956,RetroReel,trial,monthly,11.18,2023-11-05,2023-11,True
5,000BRHY264,CineQuest,expired,annual,60.0,2023-10-17,2023-10,True
9,000DTPC747,LimeLight,trial,annual,49.62,2023-06-14,2023-06,True
10,000DTPC747,LimeLight,paid,annual,80.0,2023-08-31,2023-08,True
14,000ELOE240,LimeLight,expired,annual,80.01,2023-04-25,2023-04,True
15,000ELOE240,LimeLight,paid,annual,80.01,2023-11-27,2023-11,True
19,000FJHB065,RetroReel,trial,monthly,17.43,2023-10-29,2023-10,True
20,000FJHB065,RetroReel,paid,monthly,30.0,2023-11-09,2023-11,True
21,000GTIY258,LimeLight,discounted,monthly,15.41,2023-08-17,2023-08,True
24,000GTIY258,Pulse,expired,monthly,7.98,2023-01-03,2023-01,True
26,000JNLK053,CineQuest,expired,monthly,11.98,2023-11-23,2023-11,True
28,000KGEM860,CineQuest,expired,monthly,12.01,2023-11-17,2023-11,True
31,000LZCB553,RetroReel,expired,monthly,30.0,2023-01-13,2023-01,True
32,000LZCB553,RetroReel,paid,monthly,30.01,2023-09-08,2023-09,True
33,000NKPB626,ChillStream,paid,monthly,25.01,2023-04-05,2023-04,True
37,000ORNZ823,CineQuest,paid,monthly,11.99,2023-02-09,2023-02,True
38,000ORNZ823,CineQuest,expired,monthly,12.0,2023-03-13,2023-03,True
39,000ORNZ823,CineQuest,paid,monthly,12.0,2023-04-18,2023-04,True
40,000ORNZ823,CineQuest,expired,monthly,12.0,2023-12-12,2023-12,True
42,000PDZG668,LimeLight,expired,annual,80.01,2023-08-23,2023-08,True
44,000PGCL630,RetroReel,expired,monthly,30.01,2023-05-05,2023-05,True
45,000PGCL630,RetroReel,paid,annual,119.99,2023-09-29,2023-09,True
48,000QBES821,CineQuest,paid,annual,60.01,2023-10-10,2023-10,True
49,000QEVH452,LimeLight,paid,annual,80.0,2023-05-18,2023-05,True
52,000RKIJ792,Pulse,expired,annual,50.01,2023-01-29,2023-01,True
53,000RKIJ792,Pulse,paid,monthly,8.0,2023-08-19,2023-08,True
54,000SDWN043,LimeLight,paid,annual,80.0,2023-02-07,2023-02,True
59,000SJSR665,Pulse,paid,monthly,8.0,2023-05-28,2023-05,True
63,000TMFK922,CineQuest,expired,monthly,11.99,2023-12-17,2023-12,True
65,000TMFK922,Pulse,expired,annual,49.99,2023-08-06,2023-08,True
66,000TMFK922,Pulse,trial,monthly,2.86,2023-11-09,2023-11,True
72,000TOJT688,Pulse,discounted,monthly,5.12,2023-02-22,2023-02,True
73,000TOJT688,Pulse,paid,monthly,7.99,2023-09-29,2023-09,True
74,000TOJT688,RetroReel,expired,monthly,30.01,2023-08-06,2023-08,True
75,000TXEC968,RetroReel,discounted,monthly,29.98,2023-06-16,2023-06,True
76,000TXEC968,RetroReel,paid,monthly,29.99,2023-08-24,2023-08,True
80,000UCAC008,CineQuest,expired,monthly,11.98,2023-12-18,2023-12,True
85,000UQTO352,LimeLight,expired,monthly,20.0,2023-04-10,2023-04,True
86,000UQTO352,LimeLight,paid,annual,80.01,2023-08-11,2023-08,True
88,000UQTO352,Pulse,discounted,annual,49.04,2023-01-09,2023-01,True
90,000UTKY023,Pulse,expired,monthly,8.01,2023-08-09,2023-08,True
96,000VITQ690,CineQuest,paid,monthly,12.01,2023-11-30,2023-11,True
98,000VLET636,RetroReel,expired,annual,119.99,2023-03-01,2023-03,True
102,000XYZK575,Pulse,paid,annual,50.0,2023-04-26,2023-04,True
104,000YBDY680,Pulse,expired,monthly,8.01,2023-06-29,2023-06,True
105,000YBDY680,Pulse,paid,monthly,8.01,2023-07-15,2023-07,True
109,000YRER318,CineQuest,paid,monthly,11.99,2023-02-22,2023-02,True
111,000YUBG396,RetroReel,expired,monthly,29.99,2023-12-12,2023-12,True
113,000YZXN802,Pulse,discounted,monthly,4.26,2023-01-25,2023-01,True
114,000YZXN802,Pulse,expired,monthly,8.0,2023-02-08,2023-02,True
115,000YZXN802,Pulse,paid,monthly,8.0,2023-04-28,2023-04,True
116,000YZXN802,Pulse,expired,monthly,7.99,2023-08-31,2023-08,True
117,000YZXN802,Pulse,paid,monthly,8.0,2023-09-16,2023-09,True
120,001AJCT513,ChillStream,expired,monthly,25.02,2023-09-30,2023-09,True
122,001ARPK279,ChillStream,expired,monthly,25.01,2023-05-31,2023-05,True
123,001ARPK279,ChillStream,discounted,monthly,11.52,2023-06-13,2023-06,True
124,001ARPK279,ChillStream,expired,monthly,25.0,2023-07-23,2023-07,True
125,001ARPK279,ChillStream,discounted,monthly,24.99,2023-10-05,2023-10,True
127,001BQUT830,ChillStream,paid,annual,100.0,2023-07-28,2023-07,True
131,001DJNA725,LimeLight,paid,annual,79.99,2023-09-21,2023-09,True
133,001DLTR482,CineQuest,paid,monthly,12.0,2023-06-23,2023-06,True
137,001GUVF664,LimeLight,expired,annual,80.01,2023-07-12,2023-07,True
138,001GUVF664,LimeLight,paid,monthly,19.99,2023-10-26,2023-10,True
139,001HERX577,RetroReel,discounted,monthly,9.26,2023-06-27,2023-06,True
140,001HERX577,RetroReel,paid,monthly,30.0,2023-08-11,2023-08,True
142,001JDME989,LimeLight,paid,annual,80.0,2023-06-15,2023-06,True
144,001JYOY737,LimeLight,expired,monthly,19.99,2023-02-24,2023-02,True
148,001MJIH685,Pulse,expired,annual,50.0,2023-07-31,2023-07,True
149,001MJIH685,Pulse,discounted,monthly,2.88,2023-12-19,2023-12,True
152,001NKRX135,Pulse,paid,monthly,8.01,2023-09-28,2023-09,True
157,001NUQI691,ChillStream,paid,monthly,24.98,2023-06-01,2023-06,True
162,001OZTH974,Pulse,paid,monthly,8.0,2023-08-04,2023-08,True
165,001PIBK965,LimeLight,paid,monthly,20.0,2023-05-18,2023-05,True
166,001PIBK965,LimeLight,expired,monthly,20.0,2023-06-15,2023-06,True
167,001PIBK965,LimeLight,discounted,monthly,9.64,2023-07-10,2023-07,True
169,001PILU789,CineQuest,expired,annual,60.0,2023-06-04,2023-06,True
170,001PILU789,CineQuest,paid,annual,60.01,2023-09-26,2023-09,True
171,001PILU789,CineQuest,expired,annual,60.01,2023-11-05,2023-11,True
173,001PKYB529,LimeLight,expired,monthly,20.0,2023-09-15,2023-09,True
175,001QBUN395,CineQuest,expired,monthly,11.99,2023-03-26,2023-03,True
176,001QBUN395,CineQuest,paid,monthly,12.02,2023-04-12,2023-04,True
177,001QBUN395,CineQuest,expired,monthly,12.0,2023-10-19,2023-10,True
181,001RBOC950,LimeLight,expired,monthly,20.01,2023-11-15,2023-11,True
183,001RLIN262,LimeLight,expired,monthly,20.0,2023-03-05,2023-03,True
186,001SIVU071,ChillStream,paid,monthly,24.99,2023-09-12,2023-09,True
192,001SQXC187,CineQuest,paid,monthly,11.99,2023-12-31,2023-12,True
196,001SXFZ276,ChillStream,paid,monthly,25.01,2023-04-18,2023-04,True
197,001SXFZ276,ChillStream,expired,monthly,25.01,2023-09-24,2023-09,True
198,001SXFZ276,ChillStream,paid,monthly,25.01,2023-10-16,2023-10,True
203,001TTLN903,CineQuest,trial,monthly,10.04,2023-02-14,2023-02,True
204,001TTLN903,LimeLight,paid,monthly,20.01,2023-04-16,2023-04,True
205,001TTLN903,LimeLight,expired,monthly,19.99,2023-08-27,2023-08,True
208,001TTLN903,Pulse,paid,monthly,8.0,2023-02-21,2023-02,True
213,001UAHA863,CineQuest,paid,annual,60.01,2023-01-06,2023-01,True
215,001UAHA863,Pulse,paid,monthly,8.02,2023-03-16,2023-03,True
216,001UAHA863,Pulse,expired,monthly,8.01,2023-07-18,2023-07,True
217,001UAHA863,RetroReel,expired,annual,120.02,2023-11-27,2023-11,True
222,001UFAQ102,CineQuest,paid,annual,59.98,2023-12-08,2023-12,True
223,001UNNH865,RetroReel,paid,monthly,30.0,2023-10-23,2023-10,True
229,001WKVX393,LimeLight,trial,monthly,12.43,2023-01-05,2023-01,True
233,001WZZE262,RetroReel,expired,monthly,29.98,2023-11-01,2023-11,True
235,001XDRM026,LimeLight,paid,monthly,20.0,2023-12-21,2023-12,True
237,001XPYF468,Pulse,expired,monthly,7.99,2023-05-15,2023-05,True
238,001XPYF468,Pulse,paid,annual,50.01,2023-06-10,2023-06,True
240,001YPUL192,ChillStream,expired,monthly,25.0,2023-05-08,2023-05,True
241,001YPUL192,ChillStream,paid,annual,100.0,2023-06-28,2023-06,True
243,002ANIL633,Pulse,expired,annual,50.01,2023-08-30,2023-08,True
244,002AOWO547,LimeLight,paid,annual,79.99,2023-02-20,2023-02,True
246,002ARCP357,ChillStream,paid,monthly,24.98,2023-11-20,2023-11,True
248,002BKVK889,ChillStream,paid,monthly,25.0,2023-10-05,2023-10,True
249,002BKVK889,RetroReel,expired,annual,119.98,2023-07-15,2023-07,True
252,002BZGD044,CineQuest,discounted,monthly,10.26,2023-03-09,2023-03,True
256,002CREJ862,Pulse,discounted,monthly,6.08,2023-01-23,2023-01,True
257,002CREJ862,Pulse,paid,monthly,8.0,2023-06-10,2023-06,True
258,002CREJ862,Pulse,expired,monthly,8.0,2023-08-10,2023-08,True
262,002CXBG255,CineQuest,expired,annual,59.99,2023-02-01,2023-02,True
263,002CXBG255,CineQuest,paid,monthly,12.01,2023-06-18,2023-06,True
264,002CXBG255,CineQuest,expired,monthly,11.99,2023-10-16,2023-10,True
267,002EAAX725,CineQuest,paid,monthly,12.0,2023-01-03,2023-01,True
268,002EAAX725,CineQuest,expired,monthly,12.01,2023-02-14,2023-02,True
269,002EAAX725,CineQuest,paid,monthly,12.01,2023-03-23,2023-03,True
273,002EXCW867,RetroReel,expired,monthly,29.99,2023-12-13,2023-12,True
275,002FCKO341,RetroReel,paid,monthly,30.01,2023-07-20,2023-07,True
280,002FIHW100,LimeLight,expired,monthly,20.01,2023-09-06,2023-09,True
282,002FMLQ798,Pulse,paid,monthly,8.01,2023-04-13,2023-04,True
283,002FMLQ798,Pulse,expired,monthly,7.99,2023-10-24,2023-10,True
