,ID,BRAND,RECENCY,FREQUENCY,REVENUE,SUB
0,000AHHU956,RetroReel,64,1,660.0,"['expired monthly', 'paid monthly']"
1,000BRHY264,CineQuest,75,1,120.0,['paid annual']
2,000DJKK225,CineQuest,625,1,48.0,['expired monthly']
3,000DTPC747,LimeLight,517,1,80.0,['expired annual']
4,000ELOE240,LimeLight,250,1,80.01,['trial annual']
5,000GTIY258,Pulse,362,1,79.80000000000001,['discounted monthly']
6,000JNLK053,CineQuest,38,1,215.64000000000001,['paid monthly']
7,000KGEM860,CineQuest,44,1,276.23,['paid monthly']
8,000LZCB553,RetroReel,352,1,270.0,['trial monthly']
9,000ORNZ823,CineQuest,19,1,657.3199999999999,"['expired monthly', 'discounted monthly', 'paid monthly', 'paid monthly']"
10,000PDZG668,LimeLight,130,1,160.02,['paid annual']
11,000PGCL630,RetroReel,240,1,510.17,['expired monthly']
12,000QBES821,CineQuest,499,1,36.03,['paid monthly']
13,000RKIJ792,Pulse,336,1,50.01,['paid annual']
14,000SJSR665,Pulse,405,1,87.92,"['expired monthly', 'paid monthly']"
15,000TMFK922,CineQuest,14,1,263.88,"['expired annual', 'paid monthly']"
16,000TMFK922,Pulse,147,1,99.98,['paid annual']
17,000TOJT688,ChillStream,659,1,74.97,['expired monthly']
18,000TOJT688,Pulse,486,1,55.93,['discounted monthly']
19,000TOJT688,RetroReel,147,1,600.2,['expired monthly']
20,000UCAC008,CineQuest,13,1,263.74,"['expired monthly', 'paid monthly']"
21,000UQTO352,LimeLight,265,1,80.0,['paid monthly']
22,000UQTO352,Pulse,403,1,87.89,['expired monthly']
23,000UTKY023,Pulse,144,1,160.2,['paid monthly']
24,000VITQ690,CineQuest,628,1,48.0,"['paid monthly', 'paid monthly']"
25,000VLET636,RetroReel,305,1,119.99,['paid annual']
26,000XYZK575,Pulse,524,1,50.0,['paid annual']
27,000YBDY680,Pulse,185,1,56.07,['trial monthly']
28,000YRER318,CineQuest,437,1,35.97,['discounted monthly']
29,000YUBG396,RetroReel,19,1,629.79,['paid monthly']
30,000YZXN802,Pulse,122,1,60.21,"['discounted monthly', 'paid monthly']"
31,001AJCT513,ChillStream,92,1,550.4399999999999,['paid monthly']
32,001ARPK279,ChillStream,161,1,500.18000000000006,"['paid monthly', 'discounted monthly']"
33,001DJNA725,LimeLight,460,1,79.99,['paid annual']
34,001DLTR482,CineQuest,577,1,72.12,['expired monthly']
35,001GUVF664,LimeLight,172,1,160.02,['paid annual']
36,001JYOY737,LimeLight,310,1,179.91,['paid monthly']
37,001MJIH685,Pulse,153,1,100.0,['paid annual']
38,001NKRX135,Pulse,383,1,49.99,['paid annual']
39,001NUQI691,ChillStream,561,1,50.0,['paid monthly']
40,001OJEK601,ChillStream,707,1,25.0,['expired monthly']
41,001OZTH974,Pulse,387,1,50.0,['paid annual']
42,001PIBK965,LimeLight,199,1,140.12,"['expired monthly', 'paid monthly']"
43,001PILU789,CineQuest,56,1,300.01,"['paid annual', 'paid annual']"
