,ID,BRAND,SUB_DETAIL,START_DATE,END_DATE,DURATION,REVENUE
0,000AHHU956,RetroReel,expired monthly,2022-01-01,2022-02-17,47,60.0
1,000AHHU956,RetroReel,paid monthly,2022-05-21,2022-05-21,40,59.98
2,000BRHY264,CineQuest,paid annual,2022-05-23,2022-05-23,38,60.0
3,000DJKK225,CineQuest,expired monthly,2022-01-01,2022-04-15,104,48.0
4,000EFUI271,LimeLight,paid annual,2022-04-04,2022-04-04,87,80.01
5,000ELOE240,LimeLight,trial annual,2022-05-08,2022-05-08,53,51.62
6,000ESDW551,RetroReel,paid monthly,2022-05-07,2022-05-07,54,60.0
7,000FBYF129,RetroReel,paid monthly,2022-02-22,2022-02-22,128,150.05
8,000GTIY258,Pulse,discounted monthly,2022-03-10,2022-03-10,112,19.28
9,000JNLK053,CineQuest,paid monthly,2022-06-28,2022-06-28,2,12.01
10,000KGEM860,CineQuest,paid monthly,2022-01-23,2022-01-23,158,72.06
11,000KREJ709,RetroReel,paid monthly,2022-02-25,2022-02-25,125,150.1
12,000LZCB553,RetroReel,trial monthly,2022-05-11,2022-05-11,50,20.14
13,000ORNZ823,CineQuest,expired monthly,2022-01-01,2022-04-24,113,48.04
14,000ORNZ823,CineQuest,discounted monthly,2022-05-01,2022-05-01,60,13.56
15,000PDZG668,LimeLight,paid annual,2022-02-13,2022-02-13,137,80.01
16,000QBES821,CineQuest,paid monthly,2022-06-02,2022-06-02,28,11.98
17,000RKIJ792,Pulse,paid annual,2022-02-04,2022-02-04,146,50.0
18,000SJSR665,Pulse,expired monthly,2022-01-01,2022-04-12,101,31.96
19,000TFKR237,RetroReel,paid annual,2022-03-10,2022-03-10,112,119.99
20,000TMFK922,Pulse,paid annual,2022-02-14,2022-02-14,136,50.01
21,000TOJT688,ChillStream,expired monthly,2022-01-01,2022-03-12,70,74.97
22,000TOJT688,Pulse,paid monthly,2022-03-03,2022-03-03,119,32.0
23,000TZZT543,RetroReel,paid monthly,2022-01-13,2022-01-13,168,180.0
24,000UCAC008,CineQuest,expired monthly,2022-01-01,2022-03-15,73,36.03
25,000ULLT010,RetroReel,paid monthly,2022-04-11,2022-04-11,80,90.0
26,000UTKY023,Pulse,paid monthly,2022-01-11,2022-01-11,170,48.0
27,000VITQ690,CineQuest,paid monthly,2022-01-29,2022-02-01,3,11.98
28,000VITQ690,CineQuest,paid monthly,2022-03-01,2022-04-12,42,36.0
29,000VLET636,RetroReel,paid annual,2022-06-02,2022-06-02,28,120.01
30,000XORN373,ChillStream,paid annual,2022-01-29,2022-01-29,152,100.01
31,000XYZK575,Pulse,paid annual,2022-06-08,2022-06-08,22,50.0
32,000YUBG396,RetroReel,paid monthly,2022-04-12,2022-04-12,79,89.94
