,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
3,000EFUI271,LimeLight,87,80.01,1,1,0,1,2,Low-Value
4,000ELOE240,LimeLight,53,51.62,1,2,0,1,3,Mid-Value
13,000PDZG668,LimeLight,137,80.01,1,0,0,1,1,Low-Value
31,000ZBDO909,LimeLight,38,40.0,1,2,0,0,2,Low-Value
34,001DJNA725,LimeLight,34,79.99,1,2,0,1,3,Mid-Value
37,001GUVF664,LimeLight,63,80.01,1,1,0,1,2,Low-Value
38,001JYOY737,LimeLight,24,20.0,1,2,0,0,2,Low-Value
46,001PIBK965,LimeLight,108,60.06,2,1,1,1,3,Mid-Value
49,001RLIN262,LimeLight,51,40.02,1,2,0,0,2,Low-Value
51,001SIVU071,LimeLight,173,120.06,3,0,2,2,4,Mid-Value
61,001UYQB422,LimeLight,138,80.0,1,0,0,1,1,Low-Value
64,001WZZE262,LimeLight,151,80.0,1,0,0,1,1,Low-Value
68,002CNQR282,LimeLight,161,80.0,1,0,0,1,1,Low-Value
69,002CUYF788,LimeLight,100,79.56,1,1,0,1,2,Low-Value
77,002JYSZ401,LimeLight,27,120.0,1,2,0,2,4,Mid-Value
81,002NKQR179,LimeLight,40,67.14,1,2,0,1,3,Mid-Value
89,002PXRI930,LimeLight,139,80.0,1,0,0,1,1,Low-Value
94,002SOIZ089,LimeLight,139,80.02,1,0,0,1,1,Low-Value
102,003AEKA966,LimeLight,90,13.18,1,1,0,0,1,Low-Value
103,003ANID263,LimeLight,84,79.96,1,1,0,1,2,Low-Value
113,003JAJC959,LimeLight,6,20.0,1,2,0,0,2,Low-Value
115,003JXTS440,LimeLight,159,20.03,1,0,0,0,0,Low-Value
126,003YZJM392,LimeLight,153,20.01,2,0,1,0,1,Low-Value
131,004AMJN950,LimeLight,171,120.0,1,0,0,2,2,Low-Value
134,004BTTQ071,LimeLight,98,20.01,1,1,0,0,1,Low-Value
138,004GNEP305,LimeLight,65,80.0,1,1,0,1,2,Low-Value
140,004ILUO342,LimeLight,138,79.99,1,0,0,1,1,Low-Value
143,004JVWK677,LimeLight,85,79.96,1,1,0,1,2,Low-Value
144,004KQJC323,LimeLight,110,59.97,1,1,0,1,2,Low-Value
149,004PAMY118,LimeLight,166,119.94,1,0,0,2,2,Low-Value
151,004POHC309,LimeLight,63,59.97,1,1,0,1,2,Low-Value
156,004SFGA279,LimeLight,21,119.94,1,2,0,2,4,Mid-Value
158,004TECZ734,LimeLight,16,80.01,1,2,0,1,3,Mid-Value
168,004XMMN681,LimeLight,74,79.96,1,1,0,1,2,Low-Value
177,005BCIQ004,LimeLight,103,80.0,1,1,0,1,2,Low-Value
181,005CVMO725,LimeLight,71,59.94,2,1,1,1,3,Mid-Value
190,005IKHP676,LimeLight,56,40.0,2,2,1,0,3,Mid-Value
191,005ITHJ033,LimeLight,140,100.05,1,0,0,2,2,Low-Value
192,005JAMG408,LimeLight,116,79.99,1,1,0,1,2,Low-Value
194,005LMLD320,LimeLight,12,59.97,1,2,0,1,3,Mid-Value
195,005MQWT219,LimeLight,177,119.88,1,0,0,2,2,Low-Value
203,005PUYF561,LimeLight,151,20.0,1,0,0,0,0,Low-Value
204,005PXUP242,LimeLight,47,80.0,1,2,0,1,3,Mid-Value
205,005PXZW655,LimeLight,56,59.97,1,2,0,1,3,Mid-Value
207,005QWTZ542,LimeLight,41,100.0,1,2,0,2,4,Mid-Value
211,005TQVA378,LimeLight,100,60.0,1,1,0,1,2,Low-Value
212,005TXTH594,LimeLight,34,159.98,1,2,0,3,5,High-Value
218,006BIGJ762,LimeLight,61,60.03,1,1,0,1,2,Low-Value
221,006CSAF205,LimeLight,117,60.0,1,1,0,1,2,Low-Value
225,006FKZP530,LimeLight,73,99.97,1,1,0,2,3,Mid-Value
227,006GNTK163,LimeLight,98,79.92,1,1,0,1,2,Low-Value
228,006IDRX772,LimeLight,35,79.36,1,2,0,1,3,Mid-Value
249,007DQLA070,LimeLight,168,80.0,1,0,0,1,1,Low-Value
253,007HNUM396,LimeLight,127,100.1,1,0,0,2,2,Low-Value
260,007NELM107,LimeLight,56,79.99,1,2,0,1,3,Mid-Value
264,007QFVA399,LimeLight,127,100.0,1,0,0,2,2,Low-Value
280,008DFCS661,LimeLight,15,100.1,1,2,0,2,4,Mid-Value
282,008ENDY646,LimeLight,62,79.96,1,1,0,1,2,Low-Value
290,008LORV934,LimeLight,87,80.01,1,1,0,1,2,Low-Value
291,008NBCW660,LimeLight,83,79.99,1,1,0,1,2,Low-Value
306,009BYWQ378,LimeLight,126,80.01,1,0,0,1,1,Low-Value
311,009HIOA323,LimeLight,56,79.99,1,2,0,1,3,Mid-Value
312,009ILTP035,LimeLight,78,79.99,1,1,0,1,2,Low-Value
315,009MNVS084,LimeLight,163,80.01,1,0,0,1,1,Low-Value
319,009OAZT384,LimeLight,72,100.0,1,1,0,2,3,Mid-Value
321,009OWTK397,LimeLight,85,80.01,1,1,0,1,2,Low-Value
325,009SDTY662,LimeLight,8,99.99,1,2,0,2,4,Mid-Value
328,009WCWO485,LimeLight,171,120.0,2,0,1,2,3,Mid-Value
330,009YWEP229,LimeLight,96,80.04,1,1,0,1,2,Low-Value
345,010HPEQ987,LimeLight,15,100.09,1,2,0,2,4,Mid-Value
347,010LGPV785,LimeLight,121,40.0,1,0,0,0,0,Low-Value
352,010PKHU916,LimeLight,48,39.96,1,2,0,0,2,Low-Value
363,010SYJP308,LimeLight,175,20.0,3,0,2,0,2,Low-Value
365,010UXXD311,LimeLight,83,60.0,1,1,0,1,2,Low-Value
367,010VECF139,LimeLight,105,80.0,1,1,0,1,2,Low-Value
368,010WSZH215,LimeLight,43,80.01,2,2,1,1,4,Mid-Value
370,010XTJU142,LimeLight,96,67.0,1,1,0,1,2,Low-Value
373,010ZSQB664,LimeLight,162,80.01,2,0,1,1,2,Low-Value
380,011CQIW361,LimeLight,78,43.44,1,1,0,0,1,Low-Value
384,011FKXG559,LimeLight,169,120.0,1,0,0,2,2,Low-Value
392,011LSEX181,LimeLight,9,79.98,2,2,1,1,4,Mid-Value
394,011LXVA830,LimeLight,162,19.98,1,0,0,0,0,Low-Value
399,011PNDQ451,LimeLight,166,80.0,1,0,0,1,1,Low-Value
402,011RJQJ064,LimeLight,47,99.95,1,2,0,2,4,Mid-Value
407,011WHSO110,LimeLight,110,59.97,2,1,1,1,3,Mid-Value
412,011ZCGJ198,LimeLight,90,60.0,1,1,0,1,2,Low-Value
415,012BVEM711,LimeLight,122,119.95,1,0,0,2,2,Low-Value
418,012COPQ802,LimeLight,128,39.98,1,0,0,0,0,Low-Value
420,012EATX685,LimeLight,4,19.99,1,2,0,0,2,Low-Value
423,012EOCL372,LimeLight,23,19.99,2,2,1,0,3,Mid-Value
424,012GHKT061,LimeLight,138,27.24,1,0,0,0,0,Low-Value
425,012GYNX134,LimeLight,96,159.98,1,1,0,3,4,Mid-Value
428,012JTXS726,LimeLight,36,79.97,1,2,0,1,3,Mid-Value
430,012KUUP502,LimeLight,169,19.98,1,0,0,0,0,Low-Value
431,012MCDK776,LimeLight,91,80.04,1,1,0,1,2,Low-Value
437,012QOKK113,LimeLight,25,120.0,2,2,1,2,5,High-Value
438,012QPKE887,LimeLight,3,120.06,2,2,1,2,5,High-Value
441,012ROSW222,LimeLight,74,79.96,1,1,0,1,2,Low-Value
443,012XNXP920,LimeLight,36,80.01,1,2,0,1,3,Mid-Value
456,013MUXZ573,LimeLight,137,80.01,1,0,0,1,1,Low-Value
460,013OGQF693,LimeLight,36,39.96,1,2,0,0,2,Low-Value
461,013QGID965,LimeLight,104,80.0,1,1,0,1,2,Low-Value
462,013QOEF984,LimeLight,158,119.88,1,0,0,2,2,Low-Value
464,013SJGK748,LimeLight,111,80.0,1,1,0,1,2,Low-Value
468,013VHQH230,LimeLight,41,40.02,1,2,0,0,2,Low-Value
471,013WTOI330,LimeLight,170,80.01,1,0,0,1,1,Low-Value
475,014DOWC205,LimeLight,59,80.01,1,1,0,1,2,Low-Value
480,014HDED385,LimeLight,33,159.99,1,2,0,3,5,High-Value
484,014LSWK188,LimeLight,27,120.0,1,2,0,2,4,Mid-Value
485,014LWTH723,LimeLight,64,80.04,1,1,0,1,2,Low-Value
486,014NKXD507,LimeLight,1,96.42,1,2,0,2,4,Mid-Value
492,014XEPR381,LimeLight,43,40.02,1,2,0,0,2,Low-Value
494,014ZCIU221,LimeLight,72,41.1,1,1,0,0,1,Low-Value
497,015DQGV741,LimeLight,101,59.97,1,1,0,1,2,Low-Value
500,015FOOP690,LimeLight,6,19.99,1,2,0,0,2,Low-Value
505,015JHHY812,LimeLight,31,100.05,1,2,0,2,4,Mid-Value
509,015MDTG749,LimeLight,39,79.99,1,2,0,1,3,Mid-Value
519,015SHKO155,LimeLight,45,40.04,1,2,0,0,2,Low-Value
520,015TINI387,LimeLight,165,119.88,1,0,0,2,2,Low-Value
525,015YDBL808,LimeLight,2,19.99,1,2,0,0,2,Low-Value
527,016DJGC691,LimeLight,170,111.06,1,0,0,2,2,Low-Value
528,016DSUS372,LimeLight,167,120.0,1,0,0,2,2,Low-Value
529,016EDKI066,LimeLight,33,35.72,1,2,0,0,2,Low-Value
