,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
3,000DTPC747,LimeLight,152,80.0,1,1,0,0,1,Low-Value
4,000EFUI271,LimeLight,271,80.01,1,0,0,0,0,Low-Value
5,000ELOE240,LimeLight,237,51.62,1,1,0,0,1,Low-Value
15,000PDZG668,LimeLight,321,80.01,1,0,0,0,0,Low-Value
25,000TOJT688,LimeLight,2,20.01,3,2,2,0,4,Mid-Value
32,000UQTO352,LimeLight,7,20.02,2,2,1,0,3,Mid-Value
43,000ZBDO909,LimeLight,222,160.0,1,1,0,1,2,Low-Value
46,001AVSB880,LimeLight,67,60.0,1,2,0,0,2,Low-Value
48,001DJNA725,LimeLight,95,79.99,1,2,0,0,2,Low-Value
51,001GBJC687,LimeLight,12,20.02,1,2,0,0,2,Low-Value
52,001GUVF664,LimeLight,247,80.01,1,0,0,0,0,Low-Value
53,001JDME989,LimeLight,21,76.56,1,2,0,0,2,Low-Value
54,001JYOY737,LimeLight,208,140.0,1,1,0,1,2,Low-Value
65,001PIBK965,LimeLight,292,60.06,2,0,1,0,1,Low-Value
67,001PKYB529,LimeLight,73,60.0,1,2,0,0,2,Low-Value
70,001RBOC950,LimeLight,42,39.98,1,2,0,0,2,Low-Value
71,001RLIN262,LimeLight,235,160.08,1,1,0,1,2,Low-Value
73,001SIVU071,LimeLight,357,240.12,3,0,2,2,4,Mid-Value
84,001UYQB422,LimeLight,322,80.0,1,0,0,0,0,Low-Value
86,001WKVX393,LimeLight,85,60.0,1,2,0,0,2,Low-Value
88,001WZZE262,LimeLight,335,80.0,1,0,0,0,0,Low-Value
89,001XDRM026,LimeLight,107,180.0,1,2,0,2,4,Mid-Value
97,002CNQR282,LimeLight,68,140.03,1,2,0,1,3,Mid-Value
98,002CUYF788,LimeLight,24,20.0,1,2,0,0,2,Low-Value
101,002EXCW867,LimeLight,64,60.03,2,2,1,0,3,Mid-Value
106,002GOMV479,LimeLight,24,80.0,1,2,0,0,2,Low-Value
110,002JYSZ401,LimeLight,211,260.0,1,1,0,2,3,Mid-Value
116,002NKQR179,LimeLight,75,100.04,1,2,0,1,3,Mid-Value
125,002PPXS156,LimeLight,39,120.02,1,2,0,1,3,Mid-Value
126,002PXRI930,LimeLight,323,80.0,1,0,0,0,0,Low-Value
127,002QROR117,LimeLight,140,80.01,1,1,0,0,1,Low-Value
134,002SOIZ089,LimeLight,323,80.02,2,0,1,0,1,Low-Value
144,003AEKA966,LimeLight,100,93.18,1,2,0,1,3,Mid-Value
146,003ANID263,LimeLight,182,219.89,1,1,0,2,3,Mid-Value
152,003GPNN238,LimeLight,58,259.88,1,2,0,2,4,Mid-Value
158,003JAJC959,LimeLight,190,140.0,1,1,0,1,2,Low-Value
160,003JXTS440,LimeLight,55,100.03,1,2,0,1,3,Mid-Value
161,003KGDD155,LimeLight,67,79.98,1,2,0,0,2,Low-Value
164,003LTEX955,LimeLight,149,79.99,1,1,0,0,1,Low-Value
166,003NRLM550,LimeLight,130,100.0,1,1,0,1,2,Low-Value
176,003XKHS955,LimeLight,173,41.94,1,1,0,0,1,Low-Value
179,003YZJM392,LimeLight,21,140.02,2,2,1,1,4,Mid-Value
184,004AMJN950,LimeLight,179,120.0,1,1,0,1,2,Low-Value
187,004BTTQ071,LimeLight,141,119.96,1,1,0,1,2,Low-Value
192,004GNEP305,LimeLight,249,80.0,1,0,0,0,0,Low-Value
194,004ILUO342,LimeLight,322,79.99,1,0,0,0,0,Low-Value
198,004JVWK677,LimeLight,103,159.92,1,2,0,1,3,Mid-Value
199,004KQJC323,LimeLight,15,219.93,1,2,0,2,4,Mid-Value
205,004PAMY118,LimeLight,350,239.88,1,0,0,2,2,Low-Value
208,004POHC309,LimeLight,125,140.02,1,1,0,1,2,Low-Value
215,004SFGA279,LimeLight,156,199.96,1,1,0,2,3,Mid-Value
217,004TECZ734,LimeLight,200,80.01,1,1,0,0,1,Low-Value
218,004UOHX798,LimeLight,59,80.0,1,2,0,0,2,Low-Value
229,004XMMN681,LimeLight,258,79.96,1,0,0,0,0,Low-Value
239,005BCIQ004,LimeLight,25,239.99,1,2,0,2,4,Mid-Value
241,005CKJF445,LimeLight,108,79.92,1,2,0,0,2,Low-Value
246,005CVMO725,LimeLight,65,139.86,2,2,1,1,4,Mid-Value
256,005IKHP676,LimeLight,169,60.0,2,1,1,0,2,Low-Value
257,005ITHJ033,LimeLight,324,220.11,1,0,0,2,2,Low-Value
259,005IZSJ697,LimeLight,86,59.97,1,2,0,0,2,Low-Value
260,005JAMG408,LimeLight,7,99.99,1,2,0,1,3,Mid-Value
262,005LMLD320,LimeLight,196,59.97,1,1,0,0,1,Low-Value
263,005MQWT219,LimeLight,170,139.86,1,1,0,1,2,Low-Value
271,005PUYF561,LimeLight,335,20.0,1,0,0,0,0,Low-Value
272,005PXUP242,LimeLight,182,194.94,1,1,0,2,3,Mid-Value
273,005PXZW655,LimeLight,240,59.97,2,0,1,0,1,Low-Value
276,005QWTZ542,LimeLight,225,100.0,1,1,0,1,2,Low-Value
278,005RCWZ068,LimeLight,7,240.0,2,2,1,2,5,High-Value
283,005TQVA378,LimeLight,110,140.04000000000002,1,2,0,1,3,Mid-Value
284,005TXTH594,LimeLight,218,159.98,1,1,0,1,2,Low-Value
292,006BIGJ762,LimeLight,245,180.09,1,0,0,2,2,Low-Value
295,006CSAF205,LimeLight,125,159.95,1,1,0,1,2,Low-Value
297,006DQSO238,LimeLight,150,79.99,2,1,1,0,2,Low-Value
300,006FKZP530,LimeLight,257,219.91,1,0,0,2,2,Low-Value
302,006GNTK163,LimeLight,282,199.8,1,0,0,2,2,Low-Value
303,006IDRX772,LimeLight,219,79.36,1,1,0,0,1,Low-Value
313,006RHZT505,LimeLight,71,40.47,2,2,1,0,3,Mid-Value
321,006WTSZ851,LimeLight,118,79.99,1,1,0,0,1,Low-Value
328,007DQLA070,LimeLight,352,80.0,1,0,0,0,0,Low-Value
333,007HNUM396,LimeLight,72,160.16,1,2,0,1,3,Mid-Value
334,007IAJO670,LimeLight,132,80.0,1,1,0,0,1,Low-Value
337,007JGRB024,LimeLight,100,80.04,1,2,0,0,2,Low-Value
341,007JOPC871,LimeLight,177,118.68,1,1,0,1,2,Low-Value
344,007KYTZ045,LimeLight,116,211.44,1,1,0,2,3,Mid-Value
348,007NELM107,LimeLight,240,79.99,1,0,0,0,0,Low-Value
352,007QFVA399,LimeLight,311,220.0,1,0,0,2,2,Low-Value
377,008DFCS661,LimeLight,124,149.15,1,1,0,1,2,Low-Value
379,008ENDY646,LimeLight,246,79.96,1,0,0,0,0,Low-Value
380,008ETUJ347,LimeLight,162,120.0,1,1,0,1,2,Low-Value
390,008LORV934,LimeLight,137,180.01,1,1,0,2,3,Mid-Value
391,008NBCW660,LimeLight,267,79.99,1,0,0,0,0,Low-Value
399,008RBZM621,LimeLight,67,79.98,1,2,0,0,2,Low-Value
401,008RWKF805,LimeLight,87,59.97,1,2,0,0,2,Low-Value
411,009BNUY561,LimeLight,93,80.01,1,2,0,0,2,Low-Value
412,009BYWQ378,LimeLight,310,80.01,1,0,0,0,0,Low-Value
418,009HIOA323,LimeLight,240,79.99,1,0,0,0,0,Low-Value
420,009ILTP035,LimeLight,262,79.99,1,0,0,0,0,Low-Value
425,009MCBT205,LimeLight,111,180.0,1,2,0,2,4,Mid-Value
427,009MNVS084,LimeLight,347,80.01,1,0,0,0,0,Low-Value
431,009OAZT384,LimeLight,256,220.0,1,0,0,2,2,Low-Value
434,009OWTK397,LimeLight,269,80.01,1,0,0,0,0,Low-Value
436,009PNHD703,LimeLight,65,79.99,1,2,0,0,2,Low-Value
440,009SDTY662,LimeLight,192,219.93,1,1,0,2,3,Mid-Value
444,009WCWO485,LimeLight,355,240.0,2,0,1,2,3,Mid-Value
446,009YWEP229,LimeLight,39,180.09,1,2,0,2,4,Mid-Value
452,009ZZUD567,LimeLight,25,80.01,1,2,0,0,2,Low-Value
457,010DWEH981,LimeLight,94,180.0,1,2,0,2,4,Mid-Value
465,010HPEQ987,LimeLight,199,220.15000000000003,1,1,0,2,3,Mid-Value
466,010IITI122,LimeLight,3,15.7,1,2,0,0,2,Low-Value
468,010LGPV785,LimeLight,160,160.0,1,1,0,1,2,Low-Value
470,010MJGC911,LimeLight,56,40.0,1,2,0,0,2,Low-Value
472,010MURF353,LimeLight,182,80.0,3,1,2,0,3,Mid-Value
477,010PKHU916,LimeLight,232,159.84,1,1,0,1,2,Low-Value
488,010SYJP308,LimeLight,359,20.0,3,0,2,0,2,Low-Value
490,010UGQJ077,LimeLight,96,80.01,1,2,0,0,2,Low-Value
491,010UXXD311,LimeLight,29,160.0,1,2,0,1,3,Mid-Value
493,010UZAZ742,LimeLight,34,32.36,2,2,1,0,3,Mid-Value
494,010VECF139,LimeLight,289,80.0,2,0,1,0,1,Low-Value
497,010WSZH215,LimeLight,227,80.01,2,1,1,0,2,Low-Value
500,010XTJU142,LimeLight,104,80.02,1,2,0,0,2,Low-Value
504,010ZSQB664,LimeLight,346,80.01,2,0,1,0,1,Low-Value
512,011CQIW361,LimeLight,262,130.32,1,0,0,1,1,Low-Value
514,011DGAN495,LimeLight,121,30.0,1,1,0,0,1,Low-Value
518,011FKXG559,LimeLight,353,240.0,1,0,0,2,2,Low-Value
525,011KFWT471,LimeLight,142,36.29,1,1,0,0,1,Low-Value
529,011LSEX181,LimeLight,193,79.98,2,1,1,0,2,Low-Value
532,011LXVA830,LimeLight,36,59.98,2,2,1,0,3,Mid-Value
538,011PNDQ451,LimeLight,115,80.0,1,1,0,0,1,Low-Value
541,011RJQJ064,LimeLight,231,99.95,1,1,0,1,2,Low-Value
548,011WHSO110,LimeLight,294,59.97,2,0,1,0,1,Low-Value
552,011YPPT247,LimeLight,50,39.98,1,2,0,0,2,Low-Value
555,011ZCGJ198,LimeLight,274,200.0,1,0,0,2,2,Low-Value
559,012BVEM711,LimeLight,306,239.89,1,0,0,2,2,Low-Value
562,012COPQ802,LimeLight,166,159.98,1,1,0,1,2,Low-Value
565,012EATX685,LimeLight,188,139.92999999999998,1,1,0,1,2,Low-Value
568,012EOCL372,LimeLight,207,139.92999999999998,2,1,1,1,3,Mid-Value
570,012GHKT061,LimeLight,322,27.24,2,0,1,0,1,Low-Value
572,012GOPO394,LimeLight,29,20.01,1,2,0,0,2,Low-Value
573,012GYNX134,LimeLight,280,159.98,1,0,0,1,1,Low-Value
579,012JTXS726,LimeLight,136,179.92,1,1,0,2,3,Mid-Value
581,012KUUP502,LimeLight,353,19.98,1,0,0,0,0,Low-Value
582,012MCDK776,LimeLight,275,200.1,1,0,0,2,2,Low-Value
589,012QOKK113,LimeLight,209,120.0,2,1,1,1,3,Mid-Value
590,012QPKE887,LimeLight,70,200.06,3,2,2,2,6,High-Value
594,012ROSW222,LimeLight,258,79.96,1,0,0,0,0,Low-Value
597,012XNXP920,LimeLight,76,80.01,1,2,0,0,2,Low-Value
613,013MUXZ573,LimeLight,96,149.84,1,2,0,1,3,Mid-Value
617,013OGQF693,LimeLight,220,159.84,1,1,0,1,2,Low-Value
619,013QGID965,LimeLight,288,200.0,1,0,0,2,2,Low-Value
620,013QOEF984,LimeLight,60,199.8,1,2,0,2,4,Mid-Value
622,013SJGK748,LimeLight,295,200.0,1,0,0,2,2,Low-Value
627,013VHQH230,LimeLight,225,160.08,1,1,0,1,2,Low-Value
630,013WTOI330,LimeLight,90,123.75,1,2,0,1,3,Mid-Value
634,014DOWC205,LimeLight,243,80.01,1,0,0,0,0,Low-Value
635,014ESGL019,LimeLight,9,160.0,1,2,0,1,3,Mid-Value
638,014EUJF794,LimeLight,162,80.0,2,1,1,0,2,Low-Value
641,014EZXN555,LimeLight,179,80.01,1,1,0,0,1,Low-Value
643,014HDED385,LimeLight,217,159.99,1,1,0,1,2,Low-Value
648,014LSWK188,LimeLight,211,120.0,1,1,0,1,2,Low-Value
649,014LWTH723,LimeLight,136,180.09000000000003,1,1,0,2,3,Mid-Value
650,014NKXD507,LimeLight,130,179.91000000000005,1,1,0,2,3,Mid-Value
660,014XEPR381,LimeLight,42,180.05,1,2,0,2,4,Mid-Value
662,014ZCIU221,LimeLight,136,100.0,1,1,0,1,2,Low-Value
667,015DQGV741,LimeLight,81,119.97,1,2,0,1,3,Mid-Value
670,015FOOP690,LimeLight,190,139.92999999999998,1,1,0,1,2,Low-Value
676,015JHHY812,LimeLight,62,154.35000000000002,1,2,0,1,3,Mid-Value
680,015MDTG749,LimeLight,223,79.99,1,1,0,0,1,Low-Value
685,015NWAR843,LimeLight,66,219.81,1,2,0,2,4,Mid-Value
691,015QKAZ245,LimeLight,62,60.0,1,2,0,0,2,Low-Value
694,015SHKO155,LimeLight,229,160.16,1,1,0,1,2,Low-Value
695,015TINI387,LimeLight,349,239.76,1,0,0,2,2,Low-Value
702,015YDBL808,LimeLight,186,139.92999999999998,1,1,0,1,2,Low-Value
705,016DJGC691,LimeLight,354,222.12,1,0,0,2,2,Low-Value
706,016DSUS372,LimeLight,351,240.0,1,0,0,2,2,Low-Value
708,016EDKI066,LimeLight,129,53.58,1,1,0,0,1,Low-Value
712,016GAJZ406,LimeLight,291,161.1,1,0,0,1,1,Low-Value
723,016JBWX743,LimeLight,341,240.0,1,0,0,2,2,Low-Value
728,016LHTI895,LimeLight,253,180.0,1,0,0,2,2,Low-Value
729,016LJYF537,LimeLight,206,79.98,1,1,0,0,1,Low-Value
731,016LXUI104,LimeLight,47,40.02,1,2,0,0,2,Low-Value
736,016OYMJ988,LimeLight,150,100.05,1,1,0,1,2,Low-Value
737,016PARE178,LimeLight,17,240.0,1,2,0,2,4,Mid-Value
752,016XHQX010,LimeLight,317,143.11,2,0,1,1,2,Low-Value
754,016XRMB711,LimeLight,92,80.0,1,2,0,0,2,Low-Value
755,016YHAR018,LimeLight,105,119.98,1,2,0,1,3,Mid-Value
756,016YIWI121,LimeLight,69,80.03,1,2,0,0,2,Low-Value
758,016ZEND478,LimeLight,153,80.01,1,1,0,0,1,Low-Value
764,017FTCG762,LimeLight,84,119.94,1,2,0,1,3,Mid-Value
768,017IYEH485,LimeLight,98,100.0,1,2,0,1,3,Mid-Value
771,017JQZU523,LimeLight,326,40.02,3,0,2,0,2,Low-Value
775,017LBSF882,LimeLight,293,200.0,1,0,0,2,2,Low-Value
780,017QJQY473,LimeLight,194,140.0,1,1,0,1,2,Low-Value
786,017SOQL997,LimeLight,102,80.08,2,2,1,0,3,Mid-Value
792,017UAZJ233,LimeLight,81,200.0,2,2,1,2,5,High-Value
797,017WANR517,LimeLight,85,60.0,1,2,0,0,2,Low-Value
803,017XQNJ663,LimeLight,189,139.92999999999998,1,1,0,1,2,Low-Value
805,017ZIUW421,LimeLight,335,80.0,1,0,0,0,0,Low-Value
808,017ZUOQ892,LimeLight,164,80.01,2,1,1,0,2,Low-Value
810,018ANQW913,LimeLight,7,40.0,1,2,0,0,2,Low-Value
813,018CLYH740,LimeLight,135,80.0,1,1,0,0,1,Low-Value
814,018CMLX700,LimeLight,287,200.0,1,0,0,2,2,Low-Value
821,018ILID103,LimeLight,106,79.92,1,2,0,0,2,Low-Value
824,018JQWM859,LimeLight,92,69.96,2,2,1,0,3,Mid-Value
827,018JYUQ162,LimeLight,200,140.07000000000002,2,1,1,1,3,Mid-Value
838,018SYTG759,LimeLight,218,80.02,1,1,0,0,1,Low-Value
839,018TEQB415,LimeLight,47,40.02,1,2,0,0,2,Low-Value
844,018WPHQ081,LimeLight,52,79.99,1,2,0,0,2,Low-Value
847,019DEBX261,LimeLight,123,80.0,1,1,0,0,1,Low-Value
850,019EJNL218,LimeLight,298,200.1,1,0,0,2,2,Low-Value
854,019GZNM737,LimeLight,127,59.93,2,1,1,0,2,Low-Value
856,019HUZO580,LimeLight,84,19.47,1,2,0,0,2,Low-Value
861,019IZYK997,LimeLight,353,79.99,2,0,1,0,1,Low-Value
865,019KWEW913,LimeLight,273,159.98000000000002,2,0,1,1,2,Low-Value
868,019MXNP037,LimeLight,65,85.3,1,2,0,0,2,Low-Value
879,019RMYF977,LimeLight,96,240.04,1,2,0,2,4,Mid-Value
882,019TJNF293,LimeLight,320,220.0,1,0,0,2,2,Low-Value
890,019XAQV659,LimeLight,7,20.01,2,2,1,0,3,Mid-Value
891,019XKSH906,LimeLight,321,220.11,1,0,0,2,2,Low-Value
892,019XLLK713,LimeLight,101,80.0,1,2,0,0,2,Low-Value
908,020GIHZ158,LimeLight,88,80.01,2,2,1,0,3,Mid-Value
923,020LIWM012,LimeLight,100,79.96,1,2,0,0,2,Low-Value
924,020LLQN909,LimeLight,277,200.0,1,0,0,2,2,Low-Value
931,020MTYR398,LimeLight,59,99.95,1,2,0,1,3,Mid-Value
932,020NCJW242,LimeLight,330,220.11,1,0,0,2,2,Low-Value
942,020PRNI876,LimeLight,169,80.0,3,1,2,0,3,Mid-Value
944,020QGYI708,LimeLight,149,70.6,1,1,0,0,1,Low-Value
956,020TWZC657,LimeLight,357,79.99,1,0,0,0,0,Low-Value
957,020USXG483,LimeLight,331,239.88,1,0,0,2,2,Low-Value
959,020VLEL966,LimeLight,62,79.99,1,2,0,0,2,Low-Value
968,021BQNT823,LimeLight,88,59.97,1,2,0,0,2,Low-Value
969,021CLRG434,LimeLight,279,280.0,1,0,0,3,3,Mid-Value
970,021CYYK192,LimeLight,255,79.99,1,0,0,0,0,Low-Value
971,021CZRU553,LimeLight,222,220.16,1,1,0,2,3,Mid-Value
976,021HMTS617,LimeLight,163,131.05,1,1,0,1,2,Low-Value
981,021LHHP368,LimeLight,339,239.88,1,0,0,2,2,Low-Value
984,021LSUI847,LimeLight,64,79.98,1,2,0,0,2,Low-Value
985,021MSTM422,LimeLight,212,179.92,1,1,0,2,3,Mid-Value
986,021OGPA308,LimeLight,337,80.02,1,0,0,0,0,Low-Value
987,021OJSG472,LimeLight,310,220.0,1,0,0,2,2,Low-Value
990,021QHIP232,LimeLight,6,99.95,1,2,0,1,3,Mid-Value
994,021SOMG129,LimeLight,283,40.0,1,0,0,0,0,Low-Value
1000,021YQHK510,LimeLight,107,79.96,1,2,0,0,2,Low-Value
1001,021ZINA742,LimeLight,61,48.96,1,2,0,0,2,Low-Value
1004,022AJRP140,LimeLight,282,200.3,1,0,0,2,2,Low-Value
1008,022BDWY395,LimeLight,243,80.0,1,0,0,0,0,Low-Value
1013,022DEEO879,LimeLight,254,80.01,1,0,0,0,0,Low-Value
1018,022EUFS929,LimeLight,287,80.0,2,0,1,0,1,Low-Value
1022,022GXME748,LimeLight,121,100.0,1,1,0,1,2,Low-Value
1023,022HBGW840,LimeLight,52,39.94,2,2,1,0,3,Mid-Value
1026,022HRQF479,LimeLight,260,180.0,1,0,0,2,2,Low-Value
1027,022IGZS622,LimeLight,179,79.99,2,1,1,0,2,Low-Value
1030,022KRBF944,LimeLight,34,137.63,1,2,0,1,3,Mid-Value
1031,022LCFG185,LimeLight,142,119.18,1,1,0,1,2,Low-Value
1037,022ORAK664,LimeLight,208,44.06,1,1,0,0,1,Low-Value
1042,022TNQG939,LimeLight,105,60.6,1,2,0,0,2,Low-Value
1046,022VSBY924,LimeLight,1,92.84,2,2,1,1,4,Mid-Value
1048,022WSQP330,LimeLight,169,119.94,1,1,0,1,2,Low-Value
1053,022XZGJ976,LimeLight,258,39.06,1,0,0,0,0,Low-Value
1059,023AEMD568,LimeLight,129,100.0,2,1,1,1,3,Mid-Value
1062,023CNYC765,LimeLight,249,179.91,2,0,1,2,3,Mid-Value
1076,023JACZ720,LimeLight,216,100.0,2,1,1,1,3,Mid-Value
1078,023JYNY103,LimeLight,87,161.4,1,2,0,1,3,Mid-Value
1081,023KSTZ127,LimeLight,0,199.68,2,2,1,2,5,High-Value
1086,023NBMO154,LimeLight,29,20.0,1,2,0,0,2,Low-Value
1089,023OBAE790,LimeLight,84,37.86,2,2,1,0,3,Mid-Value
1093,023QYNL524,LimeLight,316,80.0,1,0,0,0,0,Low-Value
1098,023TUXH308,LimeLight,335,240.0,2,0,1,2,3,Mid-Value
1102,023YBKB436,LimeLight,12,20.0,1,2,0,0,2,Low-Value
1106,023ZPCU442,LimeLight,186,140.0,1,1,0,1,2,Low-Value
1111,024BTWL734,LimeLight,66,60.0,1,2,0,0,2,Low-Value
1112,024CDKX638,LimeLight,198,120.0,1,1,0,1,2,Low-Value
1114,024COKF930,LimeLight,57,240.03000000000003,1,2,0,2,4,Mid-Value
1123,024JVTH723,LimeLight,61,140.07000000000002,1,2,0,1,3,Mid-Value
1126,024KCAD609,LimeLight,261,80.0,3,0,2,0,2,Low-Value
1134,024OVKF458,LimeLight,206,220.08,1,1,0,2,3,Mid-Value
1137,024PZOR538,LimeLight,313,80.01,1,0,0,0,0,Low-Value
1140,024QQRE334,LimeLight,254,80.0,2,0,1,0,1,Low-Value
1143,024RHDD920,LimeLight,293,199.9,2,0,1,2,3,Mid-Value
1149,024URLQ304,LimeLight,312,40.02,1,0,0,0,0,Low-Value
1150,024VVIC434,LimeLight,76,139.99,1,2,0,1,3,Mid-Value
1151,024XEGX467,LimeLight,95,79.99,1,2,0,0,2,Low-Value
1152,024XMTM051,LimeLight,64,199.94,1,2,0,2,4,Mid-Value
1158,025CGZS202,LimeLight,143,180.06,1,1,0,2,3,Mid-Value
1168,025GTYJ034,LimeLight,310,240.22,1,0,0,2,2,Low-Value
