,ID,BRAND,RECENCY,REVENUE,SUB,DATE,FREQUENCY
0,000AHHU956,RetroReel,224,299.91999999999996,"['expired monthly', 'paid monthly']",2022-05-21,1
1,000BRHY264,CineQuest,222,60.0,['paid annual'],2022-05-23,1
2,000DJKK225,CineQuest,167,120.0,"['expired monthly', 'paid monthly']",2022-07-17,1
3,000DTPC747,LimeLight,152,80.0,['expired annual'],2022-08-01,1
4,000EFUI271,LimeLight,271,80.01,['paid annual'],2022-04-04,1
5,000ELOE240,LimeLight,237,51.62,['trial annual'],2022-05-08,1
6,000ENIY291,RetroReel,57,60.0,['paid monthly'],2022-11-04,1
7,000ESDW551,RetroReel,238,240.0,['paid monthly'],2022-05-07,1
8,000FBYF129,RetroReel,312,330.11,['paid monthly'],2022-02-22,1
9,000GTIY258,Pulse,146,40.0,['paid monthly'],2022-08-07,1
10,000JNLK053,CineQuest,186,84.07,['paid monthly'],2022-06-28,1
11,000KGEM860,CineQuest,342,144.12,['paid monthly'],2022-01-23,1
12,000KREJ709,RetroReel,309,330.21999999999997,['paid monthly'],2022-02-25,1
13,000LZCB553,RetroReel,234,80.56,['trial monthly'],2022-05-11,1
14,000ORNZ823,CineQuest,85,136.76,"['expired monthly', 'discounted monthly']",2022-10-07,1
15,000PDZG668,LimeLight,321,80.01,['paid annual'],2022-02-13,1
16,000PGCL630,ChillStream,138,124.94999999999999,['paid monthly'],2022-08-15,1
17,000QBES821,CineQuest,134,35.94,['paid monthly'],2022-08-19,1
18,000RCRI318,RetroReel,120,120.0,['paid monthly'],2022-09-02,1
19,000RKIJ792,Pulse,330,50.0,['paid annual'],2022-02-04,1
20,000SJSR665,Pulse,8,93.73,"['expired monthly', 'paid monthly', 'trial monthly']",2022-12-23,1
21,000TFKR237,RetroReel,296,119.99,['paid annual'],2022-03-10,1
22,000TMFK922,CineQuest,7,72.0,"['expired annual', 'paid monthly']",2022-12-24,2
23,000TMFK922,Pulse,320,50.01,['paid annual'],2022-02-14,2
24,000TOJT688,ChillStream,294,74.97,['expired monthly'],2022-03-12,3
