,ID,BRAND,RECENCY,REVENUE,SUB,DATE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
0,000AHHU956,RetroReel,224,299.91999999999996,"['expired monthly', 'paid monthly']",2022-05-21,1,1,0,3,4,Mid-Value
1,000BRHY264,CineQuest,222,60.0,['paid annual'],2022-05-23,1,1,0,0,1,Low-Value
2,000DJKK225,CineQuest,167,120.0,"['expired monthly', 'paid monthly']",2022-07-17,1,1,0,1,2,Low-Value
3,000DTPC747,LimeLight,152,80.0,['expired annual'],2022-08-01,1,1,0,0,1,Low-Value
4,000EFUI271,LimeLight,271,80.01,['paid annual'],2022-04-04,1,0,0,0,0,Low-Value
5,000ELOE240,LimeLight,237,51.62,['trial annual'],2022-05-08,1,1,0,0,1,Low-Value
6,000ENIY291,RetroReel,57,60.0,['paid monthly'],2022-11-04,1,2,0,0,2,Low-Value
7,000ESDW551,RetroReel,238,240.0,['paid monthly'],2022-05-07,1,0,0,2,2,Low-Value
8,000FBYF129,RetroReel,312,330.11,['paid monthly'],2022-02-22,1,0,0,3,3,Mid-Value
9,000GTIY258,Pulse,146,40.0,['paid monthly'],2022-08-07,1,1,0,0,1,Low-Value
10,000JNLK053,CineQuest,186,84.07,['paid monthly'],2022-06-28,1,1,0,0,1,Low-Value
11,000KGEM860,CineQuest,342,144.12,['paid monthly'],2022-01-23,1,0,0,1,1,Low-Value
12,000KREJ709,RetroReel,309,330.21999999999997,['paid monthly'],2022-02-25,1,0,0,3,3,Mid-Value
13,000LZCB553,RetroReel,234,80.56,['trial monthly'],2022-05-11,1,1,0,0,1,Low-Value
14,000ORNZ823,CineQuest,85,136.76,"['expired monthly', 'discounted monthly']",2022-10-07,1,2,0,1,3,Mid-Value
15,000PDZG668,LimeLight,321,80.01,['paid annual'],2022-02-13,1,0,0,0,0,Low-Value
16,000PGCL630,ChillStream,138,124.94999999999999,['paid monthly'],2022-08-15,1,1,0,1,2,Low-Value
17,000QBES821,CineQuest,134,35.94,['paid monthly'],2022-08-19,1,1,0,0,1,Low-Value
18,000RCRI318,RetroReel,120,120.0,['paid monthly'],2022-09-02,1,1,0,1,2,Low-Value
19,000RKIJ792,Pulse,330,50.0,['paid annual'],2022-02-04,1,0,0,0,0,Low-Value
20,000SJSR665,Pulse,8,93.73,"['expired monthly', 'paid monthly', 'trial monthly']",2022-12-23,1,2,0,1,3,Mid-Value
21,000TFKR237,RetroReel,296,119.99,['paid annual'],2022-03-10,1,0,0,1,1,Low-Value
22,000TMFK922,CineQuest,7,72.0,"['expired annual', 'paid monthly']",2022-12-24,2,2,1,0,3,Mid-Value
23,000TMFK922,Pulse,320,50.01,['paid annual'],2022-02-14,2,0,1,0,1,Low-Value
24,000TOJT688,ChillStream,294,74.97,['expired monthly'],2022-03-12,3,0,2,0,2,Low-Value
25,000TOJT688,LimeLight,2,20.01,['paid monthly'],2022-12-29,3,2,2,0,4,Mid-Value
26,000TOJT688,Pulse,121,59.04,['paid monthly'],2022-09-01,3,1,2,0,3,Mid-Value
27,000TZZT543,RetroReel,352,360.0,['paid monthly'],2022-01-13,1,0,0,3,3,Mid-Value
28,000UCAC008,CineQuest,101,83.99000000000001,"['expired monthly', 'paid monthly']",2022-09-21,1,2,0,0,2,Low-Value
29,000UJBA972,RetroReel,138,149.95,['paid monthly'],2022-08-15,1,1,0,1,2,Low-Value
30,000ULLT010,RetroReel,264,270.0,['paid monthly'],2022-04-11,1,0,0,3,3,Mid-Value
31,000UPJQ162,RetroReel,130,120.01,['paid annual'],2022-08-23,1,1,0,1,2,Low-Value
32,000UQTO352,LimeLight,7,20.02,['paid monthly'],2022-12-24,2,2,1,0,3,Mid-Value
33,000UQTO352,Pulse,38,87.89,['expired monthly'],2022-11-23,2,2,1,1,4,Mid-Value
34,000UTKY023,Pulse,354,96.0,['paid monthly'],2022-01-11,1,0,0,1,1,Low-Value
35,000VITQ690,CineQuest,134,73.88,"['paid monthly', 'paid monthly', 'discounted monthly']",2022-08-19,1,1,0,0,1,Low-Value
36,000VLET636,RetroReel,212,120.01,['paid annual'],2022-06-02,1,1,0,1,2,Low-Value
37,000XORN373,ChillStream,336,100.01,['paid annual'],2022-01-29,1,0,0,1,1,Low-Value
38,000XYZK575,Pulse,159,50.0,['paid annual'],2022-07-25,1,1,0,0,1,Low-Value
39,000YBDY680,Pulse,30,6.67,['trial monthly'],2022-12-01,1,2,0,0,2,Low-Value
40,000YRER318,CineQuest,72,40.86,['paid monthly'],2022-10-20,1,2,0,0,2,Low-Value
41,000YUBG396,RetroReel,263,269.82,['paid monthly'],2022-04-12,1,0,0,3,3,Mid-Value
42,000YWTK044,Pulse,297,50.01,['paid annual'],2022-03-09,1,0,0,0,0,Low-Value
43,000ZBDO909,LimeLight,222,160.0,['paid monthly'],2022-05-23,1,1,0,1,2,Low-Value
44,001AJCT513,ChillStream,358,300.12,['paid monthly'],2022-01-07,1,0,0,3,3,Mid-Value
45,001ARPK279,ChillStream,95,100.04,['paid monthly'],2022-09-27,1,2,0,1,3,Mid-Value
46,001AVSB880,LimeLight,67,60.0,['paid monthly'],2022-10-25,1,2,0,0,2,Low-Value
47,001BZBX615,RetroReel,217,120.0,['paid annual'],2022-05-28,1,1,0,1,2,Low-Value
48,001DJNA725,LimeLight,95,79.99,['paid annual'],2022-09-27,1,2,0,0,2,Low-Value
49,001DLTR482,CineQuest,212,72.12,['expired monthly'],2022-06-02,1,1,0,0,1,Low-Value
50,001FSQJ082,ChillStream,267,225.0,['paid monthly'],2022-04-08,1,0,0,2,2,Low-Value
51,001GBJC687,LimeLight,12,20.02,['paid monthly'],2022-12-19,1,2,0,0,2,Low-Value
52,001GUVF664,LimeLight,247,80.01,['paid annual'],2022-04-28,1,0,0,0,0,Low-Value
53,001JDME989,LimeLight,21,76.56,['discounted annual'],2022-12-10,1,2,0,0,2,Low-Value
54,001JYOY737,LimeLight,208,140.0,['paid monthly'],2022-06-06,1,1,0,1,2,Low-Value
55,001KIWF507,RetroReel,227,239.92,['paid monthly'],2022-05-18,1,1,0,2,3,Mid-Value
56,001LPDP619,Pulse,354,96.12,['paid monthly'],2022-01-11,1,0,0,1,1,Low-Value
57,001MJIH685,Pulse,177,50.01,['paid annual'],2022-07-07,1,1,0,0,1,Low-Value
58,001NKRX135,Pulse,18,49.99,['paid annual'],2022-12-13,1,2,0,0,2,Low-Value
59,001NOKZ662,CineQuest,105,60.0,['paid annual'],2022-09-17,2,2,1,0,3,Mid-Value
60,001NOKZ662,RetroReel,241,269.90999999999997,['paid monthly'],2022-05-04,2,0,1,3,4,Mid-Value
61,001NUQI691,ChillStream,196,50.04,['paid monthly'],2022-06-18,1,1,0,0,1,Low-Value
62,001OJEK601,ChillStream,284,275.0,"['expired monthly', 'paid monthly']",2022-03-22,1,0,0,3,3,Mid-Value
63,001OZTH974,Pulse,22,50.0,['paid annual'],2022-12-09,1,2,0,0,2,Low-Value
64,001PIBK965,CineQuest,226,96.08,['paid monthly'],2022-05-19,2,1,1,1,3,Mid-Value
65,001PIBK965,LimeLight,292,60.06,['expired monthly'],2022-03-14,2,0,1,0,1,Low-Value
66,001PILU789,CineQuest,262,60.0,['paid annual'],2022-04-13,1,0,0,0,0,Low-Value
67,001PKYB529,LimeLight,73,60.0,['paid monthly'],2022-10-19,1,2,0,0,2,Low-Value
68,001QBUN395,CineQuest,284,120.1,['paid monthly'],2022-03-22,1,0,0,1,1,Low-Value
69,001QSLT093,Pulse,118,99.96,"['expired annual', 'paid annual']",2022-09-04,1,1,0,1,2,Low-Value
70,001RBOC950,LimeLight,42,39.98,['paid monthly'],2022-11-19,1,2,0,0,2,Low-Value
71,001RLIN262,LimeLight,235,160.08,['paid monthly'],2022-05-10,1,1,0,1,2,Low-Value
72,001SIVU071,ChillStream,112,36.56,['discounted annual'],2022-09-10,3,2,2,0,4,Mid-Value
73,001SIVU071,LimeLight,357,240.12,['paid monthly'],2022-01-08,3,0,2,2,4,Mid-Value
