,ID,BRAND,RECENCY,REVENUE,SUB,DATE,FREQUENCY,RecencyCluster,FrequencyCluster,OverallScore,RevenueCluster,Segment
0,000AHHU956,RetroReel,0,216.4182724252492,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
1,000BRHY264,CineQuest,0,37.44827586206897,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
2,000DJKK225,CineQuest,0,71.40821917808219,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
3,000EFUI271,LimeLight,0,39.67619178082192,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
4,000ELOE240,LimeLight,66,0.0,['trial annual'],2023-04-25,1,1,0,1,0,Low-Value
5,000ENIY291,RetroReel,0,193.39726027397265,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
6,000ESDW551,RetroReel,0,193.39726027397265,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
7,000FBYF129,RetroReel,0,178.58005479452055,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
8,000GTIY258,Pulse,178,24.099999999999994,['paid monthly'],2023-01-03,1,0,0,0,0,Low-Value
9,000JNLK053,CineQuest,0,73.12510703363915,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
10,000KGEM860,CineQuest,0,74.49193146417446,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
11,000KREJ709,RetroReel,0,178.63956164383566,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
12,000LZCB553,RetroReel,168,10.069999999999991,['trial monthly'],2023-01-13,1,0,0,0,0,Low-Value
13,000NKPB626,ChillStream,0,72.52900000000001,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
14,000ORNZ823,CineQuest,0,177.58991596638657,"['paid monthly', 'paid monthly']",2023-06-30,1,2,0,6,4,High-Value
15,000PDZG668,LimeLight,0,61.62472340425532,['paid annual'],2023-06-30,1,2,0,4,2,Mid-Value
16,000PGCL630,ChillStream,0,148.70761643835615,['paid monthly'],2023-06-30,2,2,1,7,4,High-Value
17,000PGCL630,RetroReel,56,120.04000000000002,['expired monthly'],2023-05-05,2,1,1,5,3,High-Value
18,000QEVH452,LimeLight,0,15.506607929515418,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
19,000RCRI318,RetroReel,0,193.39726027397265,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
20,000RKIJ792,Pulse,152,0.0,['paid annual'],2023-01-29,1,0,0,0,0,Low-Value
21,000SDWN043,LimeLight,0,35.22935779816514,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
22,000SJSR665,Pulse,0,10.027649769585253,['paid monthly'],2023-06-30,1,2,0,2,0,Low-Value
23,000TFKR237,RetroReel,0,59.5018904109589,['paid annual'],2023-06-30,1,2,0,4,2,Mid-Value
