,Unnamed: 0,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
3,3,000EFUI271,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4,4,000ELOE240,LimeLight,66,0.0,1,1,0,0,1,Low-Value
15,15,000PDZG668,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
18,18,000QEVH452,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
21,21,000SDWN043,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
26,26,000TOJT688,LimeLight,0,140.07000000000002,2,2,1,2,5,High-Value
33,33,000UQTO352,LimeLight,81,60.06,2,1,1,0,2,Low-Value
44,44,000ZBDO909,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
47,47,001AVSB880,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
51,51,001GBJC687,LimeLight,0,140.14,1,2,0,2,4,Mid-Value
52,52,001GUVF664,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
53,53,001JDME989,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
54,54,001JYOY737,LimeLight,126,40.0,1,0,0,0,0,Low-Value
63,63,001PIBK965,LimeLight,15,80.06,2,2,1,1,4,Mid-Value
65,65,001PKYB529,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
68,68,001RBOC950,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
69,69,001RLIN262,LimeLight,117,40.02000000000001,1,0,0,0,0,Low-Value
70,70,001SIVU071,LimeLight,0,140.07000000000002,2,2,1,2,5,High-Value
74,74,001TTLN903,LimeLight,0,60.03,3,2,2,0,4,Mid-Value
81,81,001UYQB422,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
83,83,001WKVX393,LimeLight,0,74.58,1,2,0,1,3,Mid-Value
85,85,001WZZE262,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
90,90,002AOWO547,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
93,93,002CNQR282,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
95,95,002CUYF788,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
98,98,002EXCW867,LimeLight,0,140.07000000000002,2,2,1,2,5,High-Value
101,101,002FIHW100,LimeLight,0,140.07000000000002,2,2,1,2,5,High-Value
103,103,002GOMV479,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
107,107,002JYSZ401,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
111,111,002MCDO278,LimeLight,0,79.96,1,2,0,1,3,Mid-Value
113,113,002NKQR179,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
122,122,002PPXS156,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
123,123,002PXRI930,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
129,129,002SOIZ089,LimeLight,0,80.02,2,2,1,1,4,Mid-Value
138,138,003AEKA966,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
140,140,003ANID263,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
146,146,003GPNN238,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
150,150,003JAJC959,LimeLight,21,100.0,1,2,0,1,3,Mid-Value
152,152,003JXTS440,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
153,153,003KGDD155,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
155,155,003LTEX955,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
157,157,003NRLM550,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
164,164,003TEQR186,LimeLight,0,140.0,2,2,1,2,5,High-Value
171,171,003XKHS955,LimeLight,0,100.05,2,2,1,1,4,Mid-Value
182,182,004BTTQ071,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
187,187,004GNEP305,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
189,189,004ILUO342,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
194,194,004JVWK677,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
195,195,004KQJC323,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
201,201,004PAMY118,LimeLight,126,39.97999999999996,1,0,0,0,0,Low-Value
202,202,004PMLD524,LimeLight,0,19.99,1,2,0,0,2,Low-Value
209,209,004SFGA279,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
210,210,004SZWZ820,LimeLight,86,60.03000000000003,2,1,1,0,2,Low-Value
212,212,004TECZ734,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
222,222,004XMMN681,LimeLight,0,99.95,1,2,0,1,3,Mid-Value
232,232,005BCIQ004,LimeLight,0,100.0,1,2,0,1,3,Mid-Value
234,234,005CKJF445,LimeLight,0,119.92,1,2,0,2,4,Mid-Value
238,238,005CRSD874,LimeLight,178,0.0,3,0,2,0,2,Low-Value
241,241,005CVMO725,LimeLight,0,79.99,2,2,1,1,4,Mid-Value
250,250,005ITHJ033,LimeLight,16,120.06,1,2,0,2,4,Mid-Value
251,251,005IZSJ697,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
252,252,005JAMG408,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
253,253,005KLHD033,LimeLight,62,79.98,1,1,0,1,2,Low-Value
255,255,005LMLD320,LimeLight,0,99.95,1,2,0,1,3,Mid-Value
256,256,005MQWT219,LimeLight,0,20.01,1,2,0,0,2,Low-Value
261,261,005PUYF561,LimeLight,0,100.05,1,2,0,1,3,Mid-Value
265,265,005RCWZ068,LimeLight,0,60.03,2,2,1,0,3,Mid-Value
270,270,005TQVA378,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
271,271,005TXTH594,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
279,279,006BIGJ762,LimeLight,0,140.07000000000002,2,2,1,2,5,High-Value
283,283,006CSAF205,LimeLight,129,79.99000000000001,1,0,0,1,1,Low-Value
286,286,006FKZP530,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
288,288,006GNTK163,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
289,289,006IDRX772,LimeLight,0,79.36,1,2,0,1,3,Mid-Value
297,297,006RHZT505,LimeLight,0,33.5,2,2,1,0,3,Mid-Value
304,304,006WTSZ851,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
311,311,007DQLA070,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
316,316,007GCJV175,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
320,320,007HNUM396,LimeLight,0,80.04,1,2,0,1,3,Mid-Value
321,321,007IAJO670,LimeLight,20,0.0,1,2,0,0,2,Low-Value
325,325,007JGRB024,LimeLight,0,98.86,1,2,0,1,3,Mid-Value
330,330,007KYTZ045,LimeLight,0,59.97,1,2,0,0,2,Low-Value
334,334,007NELM107,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
337,337,007QFCY161,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
338,338,007QFVA399,LimeLight,0,61.39,1,2,0,0,2,Low-Value
362,362,008DEJF778,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
363,363,008DFCS661,LimeLight,109,198.98,1,0,0,3,3,Mid-Value
365,365,008ETUJ347,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
375,375,008LORV934,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
379,379,008NBCW660,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
385,385,008RBZM621,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
387,387,008RWKF805,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
