,ID,BRAND,RECENCY,REVENUE,SUB,DATE,FREQUENCY
0,000DTPC747,LimeLight,16,49.62,['trial annual'],2023-06-14,1
1,000ELOE240,LimeLight,66,80.01,['expired annual'],2023-04-25,1
2,000GTIY258,Pulse,178,7.98,['expired monthly'],2023-01-03,1
3,000LZCB553,RetroReel,168,30.0,['expired monthly'],2023-01-13,1
4,000NKPB626,ChillStream,86,75.03,['paid monthly'],2023-04-05,1
5,000ORNZ823,CineQuest,73,59.980000000000004,"['paid monthly', 'paid monthly']",2023-04-18,1
6,000PGCL630,RetroReel,56,150.05,['expired monthly'],2023-05-05,1
7,000QEVH452,LimeLight,43,80.0,['paid annual'],2023-05-18,1
8,000RKIJ792,Pulse,152,50.01,['expired annual'],2023-01-29,1
9,000SDWN043,LimeLight,143,80.0,['paid annual'],2023-02-07,1
10,000SJSR665,Pulse,33,16.0,['paid monthly'],2023-05-28,1
11,000TOJT688,Pulse,128,25.6,['discounted monthly'],2023-02-22,1
12,000TXEC968,RetroReel,14,29.98,['discounted monthly'],2023-06-16,1
13,000UQTO352,LimeLight,81,80.0,['expired monthly'],2023-04-10,2
14,000UQTO352,Pulse,172,49.04,['discounted annual'],2023-01-09,2
15,000VLET636,RetroReel,121,119.99,['expired annual'],2023-03-01,1
16,000XYZK575,Pulse,65,50.0,['paid annual'],2023-04-26,1
17,000YBDY680,Pulse,1,48.06,['expired monthly'],2023-06-29,1
18,000YRER318,CineQuest,128,59.95,['paid monthly'],2023-02-22,1
19,000YZXN802,Pulse,63,28.259999999999998,"['discounted monthly', 'paid monthly']",2023-04-28,1
20,001ARPK279,ChillStream,17,136.57000000000002,"['expired monthly', 'discounted monthly']",2023-06-13,1
21,001DLTR482,CineQuest,7,12.0,['paid monthly'],2023-06-23,1
22,001HERX577,RetroReel,3,9.26,['discounted monthly'],2023-06-27,1
23,001JDME989,LimeLight,15,80.0,['paid annual'],2023-06-15,1
24,001JYOY737,LimeLight,126,39.98,['expired monthly'],2023-02-24,1
25,001NUQI691,ChillStream,29,24.98,['paid monthly'],2023-06-01,1
26,001PIBK965,LimeLight,15,20.0,['paid monthly'],2023-06-15,1
27,001PILU789,CineQuest,26,60.0,['expired annual'],2023-06-04,1
28,001QBUN395,CineQuest,79,72.03,"['expired monthly', 'paid monthly']",2023-04-12,1
29,001RLIN262,LimeLight,117,60.0,['expired monthly'],2023-03-05,1
30,001SXFZ276,ChillStream,73,75.03,['paid monthly'],2023-04-18,1
31,001TTLN903,CineQuest,136,50.199999999999996,['trial monthly'],2023-02-14,3
32,001TTLN903,LimeLight,75,60.03,['paid monthly'],2023-04-16,3
33,001TTLN903,Pulse,129,40.0,['paid monthly'],2023-02-21,3
34,001UAHA863,CineQuest,175,60.01,['paid annual'],2023-01-06,2
35,001UAHA863,Pulse,106,32.08,['paid monthly'],2023-03-16,2
36,001WKVX393,LimeLight,176,74.58,['trial monthly'],2023-01-05,1
37,001XPYF468,Pulse,20,89.96000000000001,"['expired monthly', 'paid annual']",2023-06-10,1
38,001YPUL192,ChillStream,2,225.0,"['expired monthly', 'paid annual']",2023-06-28,1
39,002AOWO547,LimeLight,130,79.99,['paid annual'],2023-02-20,1
40,002BZGD044,CineQuest,113,41.04,['discounted monthly'],2023-03-09,1
41,002CREJ862,Pulse,20,8.0,['paid monthly'],2023-06-10,1
42,002CXBG255,CineQuest,12,72.0,"['expired annual', 'paid monthly']",2023-06-18,1
43,002EAAX725,CineQuest,99,72.03999999999999,"['paid monthly', 'paid monthly']",2023-03-23,1
44,002FMLQ798,Pulse,78,24.03,['paid monthly'],2023-04-13,1
45,002KDWJ981,ChillStream,145,125.1,['paid monthly'],2023-02-05,1
46,002KGKA332,CineQuest,38,24.04,['paid monthly'],2023-05-23,1
