,ID,BRAND,2023_REVENUE
0,000AHHU956,RetroReel,322.36
1,000BRHY264,CineQuest,60.0
2,000DTPC747,LimeLight,80.0
3,000ELOE240,LimeLight,160.02
4,000FJHB065,RetroReel,60.0
5,000GTIY258,LimeLight,77.05
6,000GTIY258,Pulse,7.98
7,000JNLK053,CineQuest,131.78
8,000KGEM860,CineQuest,132.10999999999999
9,000LZCB553,RetroReel,150.04000000000002
10,000NKPB626,ChillStream,225.09
11,000ORNZ823,CineQuest,143.96
12,000PDZG668,LimeLight,80.01
13,000PGCL630,RetroReel,270.04
14,000QBES821,CineQuest,60.01
15,000QEVH452,LimeLight,80.0
16,000RKIJ792,Pulse,90.00999999999999
17,000SDWN043,LimeLight,80.0
18,000SJSR665,Pulse,64.0
19,000TMFK922,CineQuest,143.88
20,000TMFK922,Pulse,55.71
21,000TOJT688,Pulse,31.96
22,000TOJT688,RetroReel,240.08
23,000TXEC968,RetroReel,149.95
24,000UCAC008,CineQuest,143.76
25,000UQTO352,LimeLight,160.01
26,000UQTO352,Pulse,49.04
27,000UTKY023,Pulse,64.08
28,000VITQ690,CineQuest,24.02
29,000VLET636,RetroReel,119.99
30,000XYZK575,Pulse,50.0
31,000YBDY680,Pulse,96.12
32,000YRER318,CineQuest,131.89000000000001
33,000YUBG396,RetroReel,359.88
34,000YZXN802,Pulse,80.52
35,001AJCT513,ChillStream,250.2
36,001ARPK279,ChillStream,348.11
37,001BQUT830,ChillStream,100.0
38,001DJNA725,LimeLight,79.99
39,001DLTR482,CineQuest,84.0
40,001GUVF664,LimeLight,139.98000000000002
41,001HERX577,RetroReel,150.0
42,001JDME989,LimeLight,80.0
43,001JYOY737,LimeLight,39.98
44,001MJIH685,Pulse,52.88
45,001NKRX135,Pulse,32.04
46,001NUQI691,ChillStream,199.84
47,001OZTH974,Pulse,40.0
48,001PIBK965,LimeLight,77.84
49,001PILU789,CineQuest,180.01
50,001PKYB529,LimeLight,180.0
51,001QBUN395,CineQuest,156.07999999999998
