,ID,BRAND,SUB_DETAIL,START_DATE,END_DATE,SUB_DURATION_DAYS,REVENUE
0,000AHHU956,RetroReel,expired monthly,2022-01-01,2022-02-17,47,60.0
1,000AHHU956,RetroReel,paid monthly,2022-05-21,2023-10-28,525,600.0
2,000BRHY264,CineQuest,paid annual,2022-05-23,2023-10-17,512,120.0
3,000DJKK225,CineQuest,expired monthly,2022-01-01,2022-04-15,104,48.0
4,000DTPC747,LimeLight,expired annual,2022-01-01,2022-08-01,212,80.0
5,000ELOE240,LimeLight,trial annual,2022-05-08,2023-04-25,352,80.01
6,000GTIY258,Pulse,discounted monthly,2022-03-10,2023-01-03,299,79.80000000000001
7,000JNLK053,CineQuest,paid monthly,2022-06-28,2023-11-23,513,215.64000000000001
8,000KGEM860,CineQuest,paid monthly,2022-01-23,2023-11-17,663,276.23
9,000LZCB553,RetroReel,trial monthly,2022-05-11,2023-01-13,247,270.0
10,000ORNZ823,CineQuest,expired monthly,2022-01-01,2022-04-24,113,48.04
11,000ORNZ823,CineQuest,discounted monthly,2022-05-01,2022-10-07,159,119.97999999999999
12,000ORNZ823,CineQuest,paid monthly,2023-02-09,2023-03-13,32,184.66
13,000ORNZ823,CineQuest,paid monthly,2023-04-18,2023-12-12,238,304.64
14,000PDZG668,LimeLight,paid annual,2022-02-13,2023-08-23,556,160.02
15,000PGCL630,RetroReel,expired monthly,2022-01-01,2023-05-05,489,510.17
16,000QBES821,CineQuest,paid monthly,2022-06-02,2022-08-19,78,36.03
17,000RKIJ792,Pulse,paid annual,2022-02-04,2023-01-29,359,50.01
18,000SJSR665,Pulse,expired monthly,2022-01-01,2022-04-12,101,31.96
19,000SJSR665,Pulse,paid monthly,2022-09-17,2022-11-21,65,55.96
20,000TMFK922,CineQuest,expired annual,2022-01-01,2022-11-22,325,60.0
21,000TMFK922,CineQuest,paid monthly,2022-12-24,2023-12-17,358,203.88
22,000TMFK922,Pulse,paid annual,2022-02-14,2023-08-06,538,99.98
23,000TOJT688,ChillStream,expired monthly,2022-01-01,2022-03-12,70,74.97
24,000TOJT688,Pulse,discounted monthly,2022-02-25,2022-09-01,188,55.93
25,000TOJT688,RetroReel,expired monthly,2022-01-01,2023-08-06,582,600.2
26,000UCAC008,CineQuest,expired monthly,2022-01-01,2022-03-15,73,36.03
27,000UCAC008,CineQuest,paid monthly,2022-09-21,2023-12-18,453,227.71
28,000UQTO352,LimeLight,paid monthly,2022-12-24,2023-04-10,107,80.0
29,000UQTO352,Pulse,expired monthly,2022-01-01,2022-11-23,326,87.89
30,000UTKY023,Pulse,paid monthly,2022-01-11,2023-08-09,575,160.2
31,000VITQ690,CineQuest,paid monthly,2022-01-29,2022-02-01,3,11.99
32,000VITQ690,CineQuest,paid monthly,2022-03-01,2022-04-12,42,36.01
33,000VLET636,RetroReel,paid annual,2022-06-02,2023-03-01,272,119.99
34,000XYZK575,Pulse,paid annual,2022-06-08,2022-07-25,47,50.0
35,000YBDY680,Pulse,trial monthly,2022-12-01,2023-06-29,210,56.07
36,000YRER318,CineQuest,discounted monthly,2022-08-16,2022-10-20,65,35.97
37,000YUBG396,RetroReel,paid monthly,2022-04-12,2023-12-12,609,629.79
38,000YZXN802,Pulse,discounted monthly,2023-01-25,2023-02-08,14,8.0
39,000YZXN802,Pulse,paid monthly,2023-04-28,2023-08-31,125,52.21
40,001AJCT513,ChillStream,paid monthly,2022-01-07,2023-09-30,631,550.4399999999999
41,001ARPK279,ChillStream,paid monthly,2022-09-27,2023-05-31,246,225.09
42,001ARPK279,ChillStream,discounted monthly,2023-06-13,2023-07-23,40,275.09000000000003
43,001DJNA725,LimeLight,paid annual,2022-05-27,2022-09-27,123,79.99
44,001DLTR482,CineQuest,expired monthly,2022-01-01,2022-06-02,152,72.12
45,001GUVF664,LimeLight,paid annual,2022-04-28,2023-07-12,440,160.02
46,001JYOY737,LimeLight,paid monthly,2022-06-06,2023-02-24,263,179.91
47,001MJIH685,Pulse,paid annual,2022-07-07,2023-07-31,389,100.0
48,001NKRX135,Pulse,paid annual,2022-06-26,2022-12-13,170,49.99
49,001NUQI691,ChillStream,paid monthly,2022-05-18,2022-06-18,31,50.0
50,001OJEK601,ChillStream,expired monthly,2022-01-01,2022-01-23,22,25.0
51,001OZTH974,Pulse,paid annual,2022-08-01,2022-12-09,130,50.0
52,001PIBK965,LimeLight,expired monthly,2022-01-01,2022-03-14,72,60.06
53,001PIBK965,LimeLight,paid monthly,2023-05-18,2023-06-15,28,80.06
54,001PILU789,CineQuest,paid annual,2022-04-13,2023-06-04,417,120.0
55,001PILU789,CineQuest,paid annual,2023-09-26,2023-11-05,40,180.01
56,001PKYB529,LimeLight,paid monthly,2022-10-19,2023-09-15,331,240.0
57,001QBUN395,CineQuest,paid monthly,2022-03-22,2023-03-26,369,155.87
58,001QBUN395,CineQuest,paid monthly,2023-04-12,2023-10-19,190,239.87
59,001QSLT093,Pulse,expired annual,2022-01-01,2022-08-29,240,49.98
60,001RBOC950,LimeLight,paid monthly,2022-11-19,2023-11-15,361,260.13
61,001RLIN262,LimeLight,paid monthly,2022-05-10,2023-03-05,299,200.0
62,001SIVU071,ChillStream,discounted annual,2022-06-03,2022-09-10,99,100.0
63,001SIVU071,Pulse,expired monthly,2022-01-01,2022-06-28,178,47.88
64,001SQXC187,CineQuest,paid monthly,2022-04-02,2022-09-22,173,72.06
65,001SXFZ276,ChillStream,expired monthly,2022-01-01,2022-01-07,6,25.0
66,001SXFZ276,ChillStream,paid monthly,2022-03-22,2022-05-02,41,74.97999999999999
67,001SXFZ276,ChillStream,paid monthly,2023-04-18,2023-09-24,159,225.04
68,001TTLN903,CineQuest,trial monthly,2022-01-28,2022-02-07,10,12.0
69,001TTLN903,CineQuest,paid monthly,2022-05-29,2022-07-16,48,42.96
70,001TTLN903,LimeLight,paid monthly,2023-04-16,2023-08-27,133,99.94999999999999
71,001TTLN903,Pulse,paid annual,2022-04-23,2022-07-29,97,50.0
72,001UAHA863,ChillStream,expired monthly,2022-01-01,2022-04-07,96,100.04
73,001UAHA863,CineQuest,paid monthly,2022-03-26,2022-11-15,234,96.0
74,001UAHA863,Pulse,expired monthly,2022-01-01,2022-05-30,149,40.05
75,001UAHA863,Pulse,paid monthly,2023-03-16,2023-07-18,124,80.1
76,001UAHA863,RetroReel,expired annual,2022-01-01,2023-11-27,695,240.04
77,001UFAQ102,CineQuest,paid annual,2022-02-02,2022-09-09,219,60.01
78,001VLBV485,CineQuest,expired annual,2022-01-01,2022-02-16,46,59.99
79,001WKVX393,LimeLight,paid monthly,2022-07-17,2022-10-07,82,60.03
