,ID,BRAND,SUB_DETAIL,START_DATE,END_DATE,SUB_DURATION_DAYS,REVENUE
0,000AHHU956,RetroReel,expired monthly,2022-01-01,2022-02-17,47,60.0
1,000DJKK225,CineQuest,expired monthly,2022-01-01,2022-04-15,104,48.0
2,000DTPC747,LimeLight,expired annual,2022-01-01,2022-08-01,212,80.0
3,000ORNZ823,CineQuest,expired monthly,2022-01-01,2022-04-24,113,48.04
4,000ORNZ823,CineQuest,discounted monthly,2022-05-01,2022-10-07,159,119.97999999999999
5,000QBES821,CineQuest,paid monthly,2022-06-02,2022-08-19,78,36.03
6,000SJSR665,Pulse,expired monthly,2022-01-01,2022-04-12,101,31.96
7,000SJSR665,Pulse,paid monthly,2022-09-17,2022-11-21,65,55.96
8,000TMFK922,CineQuest,expired annual,2022-01-01,2022-11-22,325,60.0
9,000TOJT688,ChillStream,expired monthly,2022-01-01,2022-03-12,70,74.97
10,000TOJT688,Pulse,discounted monthly,2022-02-25,2022-09-01,188,55.93
11,000UCAC008,CineQuest,expired monthly,2022-01-01,2022-03-15,73,36.03
12,000UQTO352,Pulse,expired monthly,2022-01-01,2022-11-23,326,87.89
13,000VITQ690,CineQuest,paid monthly,2022-01-29,2022-02-01,3,11.99
14,000VITQ690,CineQuest,paid monthly,2022-03-01,2022-04-12,42,36.01
15,000XYZK575,Pulse,paid annual,2022-06-08,2022-07-25,47,50.0
16,000YRER318,CineQuest,discounted monthly,2022-08-16,2022-10-20,65,35.97
17,001DJNA725,LimeLight,paid annual,2022-05-27,2022-09-27,123,79.99
18,001DLTR482,CineQuest,expired monthly,2022-01-01,2022-06-02,152,72.12
19,001NKRX135,Pulse,paid annual,2022-06-26,2022-12-13,170,49.99
20,001NUQI691,ChillStream,paid monthly,2022-05-18,2022-06-18,31,50.0
21,001OJEK601,ChillStream,expired monthly,2022-01-01,2022-01-23,22,25.0
22,001OZTH974,Pulse,paid annual,2022-08-01,2022-12-09,130,50.0
23,001PIBK965,LimeLight,expired monthly,2022-01-01,2022-03-14,72,60.06
24,001QSLT093,Pulse,expired annual,2022-01-01,2022-08-29,240,49.98
25,001SIVU071,ChillStream,discounted annual,2022-06-03,2022-09-10,99,100.0
26,001SIVU071,Pulse,expired monthly,2022-01-01,2022-06-28,178,47.88
27,001SQXC187,CineQuest,paid monthly,2022-04-02,2022-09-22,173,72.06
28,001SXFZ276,ChillStream,expired monthly,2022-01-01,2022-01-07,6,25.0
29,001SXFZ276,ChillStream,paid monthly,2022-03-22,2022-05-02,41,74.97999999999999
30,001TTLN903,CineQuest,trial monthly,2022-01-28,2022-02-07,10,12.0
31,001TTLN903,CineQuest,paid monthly,2022-05-29,2022-07-16,48,42.96
32,001TTLN903,Pulse,paid annual,2022-04-23,2022-07-29,97,50.0
33,001UAHA863,ChillStream,expired monthly,2022-01-01,2022-04-07,96,100.04
34,001UAHA863,CineQuest,paid monthly,2022-03-26,2022-11-15,234,96.0
35,001UAHA863,Pulse,expired monthly,2022-01-01,2022-05-30,149,40.05
36,001UFAQ102,CineQuest,paid annual,2022-02-02,2022-09-09,219,60.01
37,001VLBV485,CineQuest,expired annual,2022-01-01,2022-02-16,46,59.99
38,001WKVX393,LimeLight,paid monthly,2022-07-17,2022-10-07,82,60.03
39,001WOTZ983,Pulse,expired monthly,2022-01-01,2022-05-03,122,40.0
40,001XDRM026,LimeLight,expired monthly,2022-01-01,2022-09-15,257,180.0
41,002BZGD044,CineQuest,paid annual,2022-01-04,2022-08-19,227,59.98
42,002BZGD044,RetroReel,expired monthly,2022-01-01,2022-01-23,22,29.98
43,002CNQR282,LimeLight,expired annual,2022-01-01,2022-01-20,19,80.0
44,002EAAX725,CineQuest,paid annual,2022-03-02,2022-09-30,212,59.99
45,002FCKO341,RetroReel,expired annual,2022-01-01,2022-06-30,180,119.97
46,002FIHW100,CineQuest,expired monthly,2022-01-01,2022-04-10,99,47.96
47,002FIHW100,CineQuest,trial monthly,2022-06-23,2022-07-05,12,59.96
48,002FMLQ798,Pulse,expired monthly,2022-01-01,2022-11-14,317,87.89
49,002HTBP303,CineQuest,expired monthly,2022-01-01,2022-02-28,58,24.02
50,002JYSZ401,LimeLight,expired monthly,2022-01-01,2022-05-11,130,100.0
51,002KBTX257,ChillStream,expired monthly,2022-01-01,2022-03-17,75,75.0
52,002KDWJ981,ChillStream,paid monthly,2022-10-15,2022-12-06,52,50.0
53,002KGKA332,CineQuest,paid annual,2022-06-19,2022-08-29,71,60.0
54,002NKQR179,LimeLight,paid monthly,2022-01-17,2022-02-21,35,40.0
55,002NLTJ592,Pulse,expired monthly,2022-01-01,2022-04-11,100,31.96
56,002NLTJ592,Pulse,paid monthly,2022-05-30,2022-07-12,43,47.94
57,002NLTJ592,Pulse,trial monthly,2022-08-03,2022-09-05,33,63.959999999999994
58,002NYZB724,Pulse,expired annual,2022-01-01,2022-10-29,301,50.0
59,002OADV079,ChillStream,expired monthly,2022-01-01,2022-02-12,42,50.0
60,002ODJA245,Pulse,expired monthly,2022-01-01,2022-09-22,264,72.17999999999999
61,002OFHC379,CineQuest,paid annual,2022-01-21,2022-07-30,190,60.02
62,002OFHC379,Pulse,paid annual,2022-02-01,2022-07-20,169,50.01
63,002PPXS156,LimeLight,expired annual,2022-01-01,2022-09-22,264,80.0
64,002QROR117,LimeLight,expired annual,2022-01-01,2022-08-13,224,80.01
65,002RFCE675,Pulse,expired monthly,2022-01-01,2022-02-26,56,16.02
66,002RIEU470,CineQuest,discounted annual,2022-02-26,2022-06-03,97,59.99
67,002RWXN391,CineQuest,paid annual,2022-01-07,2022-02-18,42,60.0
68,002RWXN391,CineQuest,paid monthly,2022-03-20,2022-10-17,211,156.16
69,002VKQJ659,Pulse,paid monthly,2022-06-26,2022-08-14,49,16.0
70,002VXNA655,Pulse,trial monthly,2022-01-06,2022-12-23,351,95.76
71,002WKIG010,Pulse,paid monthly,2022-03-03,2022-09-12,193,56.0
72,002YJVX993,CineQuest,paid annual,2022-02-04,2022-10-08,246,59.99
73,003AEKA966,LimeLight,discounted monthly,2022-03-26,2022-04-01,6,20.01
74,003ANID263,LimeLight,expired monthly,2022-01-01,2022-04-07,96,79.96
75,003FIZU237,CineQuest,paid annual,2022-06-17,2022-12-22,188,60.0
76,003FXVZ713,Pulse,paid monthly,2022-01-28,2022-05-28,120,31.96
77,003FXVZ713,Pulse,discounted monthly,2022-08-13,2022-11-21,100,63.96
78,003GPNN238,LimeLight,expired monthly,2022-01-01,2022-09-24,266,180.18
79,003HHJL570,Pulse,paid annual,2022-02-21,2022-06-05,104,50.0
80,003HLEM814,CineQuest,paid annual,2022-05-31,2022-07-22,52,60.0
81,003HLEM814,CineQuest,paid monthly,2022-11-13,2022-12-10,27,72.0
82,003IMVF953,RetroReel,expired monthly,2022-01-01,2022-03-01,59,59.98
83,003IMVF953,RetroReel,paid monthly,2022-06-10,2022-08-08,59,119.97999999999999
84,003JOSE263,CineQuest,expired monthly,2022-01-01,2022-01-29,28,12.01
85,003JXTS440,LimeLight,expired monthly,2022-01-01,2022-01-22,21,20.03
86,003KHGQ561,RetroReel,paid monthly,2022-06-30,2022-10-12,104,120.08
87,003NBZB582,Pulse,paid monthly,2022-03-22,2022-08-31,162,48.06
88,003ONER290,CineQuest,trial monthly,2022-01-28,2022-04-07,69,35.94
89,003QYGK056,ChillStream,expired annual,2022-01-01,2022-05-06,125,100.0
90,003QZTI046,CineQuest,expired monthly,2022-01-01,2022-01-11,10,12.0
91,003QZTI046,CineQuest,paid monthly,2022-05-19,2022-09-10,114,60.04
92,003TEQR186,CineQuest,expired monthly,2022-01-01,2022-03-06,64,36.03
93,003UKIB964,RetroReel,expired monthly,2022-01-01,2022-04-12,101,120.0
94,003XTUL243,CineQuest,paid monthly,2022-01-19,2022-07-04,166,71.94
95,003YZJM392,LimeLight,expired monthly,2022-01-01,2022-01-28,27,20.01
96,003YZJM392,LimeLight,paid monthly,2022-08-03,2022-12-10,129,120.11
97,004AKNN688,ChillStream,expired monthly,2022-01-01,2022-02-09,39,50.0
98,004AMJN950,LimeLight,paid monthly,2022-01-10,2022-07-05,176,120.06
99,004AXNW235,CineQuest,trial annual,2022-06-30,2022-07-07,7,60.01
100,004BELU613,ChillStream,expired monthly,2022-01-01,2022-03-17,75,74.94
101,004BTTQ071,LimeLight,paid monthly,2022-02-25,2022-03-24,27,20.0
102,004EFKZ926,Pulse,trial annual,2022-02-10,2022-06-24,134,50.01
103,004EFKZ926,Pulse,paid monthly,2022-09-24,2022-12-29,96,307.11
104,004ERWY396,CineQuest,paid monthly,2022-01-29,2022-10-27,271,119.80000000000001
105,004GBPK269,CineQuest,expired monthly,2022-01-01,2022-02-19,49,24.0
106,004GBPK269,CineQuest,paid monthly,2022-07-13,2022-08-19,37,48.0
107,004JNYB810,Pulse,expired monthly,2022-01-01,2022-03-29,87,24.0
108,004JVWK677,LimeLight,expired monthly,2022-01-01,2022-04-06,95,79.96
109,004KQJC323,LimeLight,expired monthly,2022-01-01,2022-03-12,70,59.97
110,004KQJC323,LimeLight,paid annual,2022-07-02,2022-08-28,57,139.97
111,004LDOW280,Pulse,paid monthly,2022-03-06,2022-06-13,99,31.96
112,004MTZV947,CineQuest,expired monthly,2022-01-01,2022-02-27,57,23.98
113,004MTZV947,CineQuest,paid monthly,2022-03-25,2022-04-20,26,35.980000000000004
114,004NNGI157,RetroReel,expired monthly,2022-01-01,2022-07-19,199,210.0
115,004PNMJ902,CineQuest,expired monthly,2022-01-01,2022-03-12,70,36.03
116,004PNMJ902,Pulse,paid monthly,2022-07-24,2022-11-02,101,31.96
117,004POHC309,LimeLight,paid monthly,2022-02-01,2022-04-28,86,59.97
118,004QHPK778,ChillStream,expired monthly,2022-01-01,2022-01-05,4,24.99
