,ID,BRAND,RECENCY,FREQUENCY,REVENUE,SUB,DATE
0,000AHHU956,RetroReel,317,1,60.0,['expired monthly'],2022-02-17
1,000DJKK225,CineQuest,260,1,48.0,['expired monthly'],2022-04-15
2,000DTPC747,LimeLight,152,1,80.0,['expired annual'],2022-08-01
3,000ORNZ823,CineQuest,85,1,168.01999999999998,"['expired monthly', 'discounted monthly']",2022-10-07
4,000QBES821,CineQuest,134,1,36.03,['paid monthly'],2022-08-19
5,000SJSR665,Pulse,40,1,87.92,"['expired monthly', 'paid monthly']",2022-11-21
6,000TMFK922,CineQuest,39,1,60.0,['expired annual'],2022-11-22
7,000TOJT688,ChillStream,294,1,74.97,['expired monthly'],2022-03-12
8,000TOJT688,Pulse,121,1,55.93,['discounted monthly'],2022-09-01
9,000UCAC008,CineQuest,291,1,36.03,['expired monthly'],2022-03-15
10,000UQTO352,Pulse,38,1,87.89,['expired monthly'],2022-11-23
11,000VITQ690,CineQuest,263,1,48.0,"['paid monthly', 'paid monthly']",2022-04-12
12,000XYZK575,Pulse,159,1,50.0,['paid annual'],2022-07-25
13,000YRER318,CineQuest,72,1,35.97,['discounted monthly'],2022-10-20
14,001DJNA725,LimeLight,95,1,79.99,['paid annual'],2022-09-27
15,001DLTR482,CineQuest,212,1,72.12,['expired monthly'],2022-06-02
16,001NKRX135,Pulse,18,1,49.99,['paid annual'],2022-12-13
17,001NUQI691,ChillStream,196,1,50.0,['paid monthly'],2022-06-18
18,001OJEK601,ChillStream,342,1,25.0,['expired monthly'],2022-01-23
19,001OZTH974,Pulse,22,1,50.0,['paid annual'],2022-12-09
20,001PIBK965,LimeLight,292,1,60.06,['expired monthly'],2022-03-14
21,001QSLT093,Pulse,124,1,49.98,['expired annual'],2022-08-29
22,001SIVU071,ChillStream,112,1,100.0,['discounted annual'],2022-09-10
23,001SIVU071,Pulse,186,1,47.88,['expired monthly'],2022-06-28
24,001SQXC187,CineQuest,100,1,72.06,['paid monthly'],2022-09-22
25,001SXFZ276,ChillStream,243,1,99.97999999999999,"['expired monthly', 'paid monthly']",2022-05-02
26,001TTLN903,CineQuest,168,1,54.96,"['trial monthly', 'paid monthly']",2022-07-16
27,001TTLN903,Pulse,155,1,50.0,['paid annual'],2022-07-29
28,001UAHA863,ChillStream,268,1,100.04,['expired monthly'],2022-04-07
29,001UAHA863,CineQuest,46,1,96.0,['paid monthly'],2022-11-15
30,001UAHA863,Pulse,215,1,40.05,['expired monthly'],2022-05-30
