,ID,BRAND,SUB_STATUS,TERM,AMOUNT,PARTITION_DATE,YEAR_MONTH,VALID_TRANSITION
9,000DTPC747,LimeLight,trial,annual,49.62,2023-06-14,2023-06,True
14,000ELOE240,LimeLight,expired,annual,80.01,2023-04-25,2023-04,True
24,000GTIY258,Pulse,expired,monthly,7.98,2023-01-03,2023-01,True
31,000LZCB553,RetroReel,expired,monthly,30.0,2023-01-13,2023-01,True
33,000NKPB626,ChillStream,paid,monthly,25.01,2023-04-05,2023-04,True
37,000ORNZ823,CineQuest,paid,monthly,11.99,2023-02-09,2023-02,True
38,000ORNZ823,CineQuest,expired,monthly,12.0,2023-03-13,2023-03,True
39,000ORNZ823,CineQuest,paid,monthly,12.0,2023-04-18,2023-04,True
44,000PGCL630,RetroReel,expired,monthly,30.01,2023-05-05,2023-05,True
49,000QEVH452,LimeLight,paid,annual,80.0,2023-05-18,2023-05,True
52,000RKIJ792,Pulse,expired,annual,50.01,2023-01-29,2023-01,True
54,000SDWN043,LimeLight,paid,annual,80.0,2023-02-07,2023-02,True
59,000SJSR665,Pulse,paid,monthly,8.0,2023-05-28,2023-05,True
72,000TOJT688,Pulse,discounted,monthly,5.12,2023-02-22,2023-02,True
75,000TXEC968,RetroReel,discounted,monthly,29.98,2023-06-16,2023-06,True
85,000UQTO352,LimeLight,expired,monthly,20.0,2023-04-10,2023-04,True
88,000UQTO352,Pulse,discounted,annual,49.04,2023-01-09,2023-01,True
98,000VLET636,RetroReel,expired,annual,119.99,2023-03-01,2023-03,True
102,000XYZK575,Pulse,paid,annual,50.0,2023-04-26,2023-04,True
104,000YBDY680,Pulse,expired,monthly,8.01,2023-06-29,2023-06,True
109,000YRER318,CineQuest,paid,monthly,11.99,2023-02-22,2023-02,True
113,000YZXN802,Pulse,discounted,monthly,4.26,2023-01-25,2023-01,True
114,000YZXN802,Pulse,expired,monthly,8.0,2023-02-08,2023-02,True
115,000YZXN802,Pulse,paid,monthly,8.0,2023-04-28,2023-04,True
122,001ARPK279,ChillStream,expired,monthly,25.01,2023-05-31,2023-05,True
123,001ARPK279,ChillStream,discounted,monthly,11.52,2023-06-13,2023-06,True
133,001DLTR482,CineQuest,paid,monthly,12.0,2023-06-23,2023-06,True
139,001HERX577,RetroReel,discounted,monthly,9.26,2023-06-27,2023-06,True
142,001JDME989,LimeLight,paid,annual,80.0,2023-06-15,2023-06,True
144,001JYOY737,LimeLight,expired,monthly,19.99,2023-02-24,2023-02,True
157,001NUQI691,ChillStream,paid,monthly,24.98,2023-06-01,2023-06,True
165,001PIBK965,LimeLight,paid,monthly,20.0,2023-05-18,2023-05,True
166,001PIBK965,LimeLight,expired,monthly,20.0,2023-06-15,2023-06,True
169,001PILU789,CineQuest,expired,annual,60.0,2023-06-04,2023-06,True
175,001QBUN395,CineQuest,expired,monthly,11.99,2023-03-26,2023-03,True
176,001QBUN395,CineQuest,paid,monthly,12.02,2023-04-12,2023-04,True
