,ID,BRAND,SUB_DETAIL,START_DATE,END_DATE,SUB_DURATION_DAYS,REVENUE
0,000ELOE240,LimeLight,expired annual,2023-01-01,2023-04-25,114,80.01
1,000GTIY258,Pulse,expired monthly,2023-01-01,2023-01-03,2,7.98
2,000LZCB553,RetroReel,expired monthly,2023-01-01,2023-01-13,12,30.0
3,000ORNZ823,CineQuest,paid monthly,2023-02-09,2023-03-13,32,24.0
4,000PGCL630,RetroReel,expired monthly,2023-01-01,2023-05-05,124,150.05
5,000RKIJ792,Pulse,expired annual,2023-01-01,2023-01-29,28,50.01
6,000UQTO352,LimeLight,expired monthly,2023-01-01,2023-04-10,99,80.0
7,000VLET636,RetroReel,expired annual,2023-01-01,2023-03-01,59,119.99
8,000YBDY680,Pulse,expired monthly,2023-01-01,2023-06-29,179,48.06
9,000YZXN802,Pulse,discounted monthly,2023-01-25,2023-02-08,14,8.0
10,001ARPK279,ChillStream,expired monthly,2023-01-01,2023-05-31,150,125.05000000000001
11,001JYOY737,LimeLight,expired monthly,2023-01-01,2023-02-24,54,39.98
12,001PIBK965,LimeLight,paid monthly,2023-05-18,2023-06-15,28,20.0
13,001PILU789,CineQuest,expired annual,2023-01-01,2023-06-04,154,60.0
14,001QBUN395,CineQuest,expired monthly,2023-01-01,2023-03-26,84,35.97
15,001RLIN262,LimeLight,expired monthly,2023-01-01,2023-03-05,63,60.0
16,001XPYF468,Pulse,expired monthly,2023-01-01,2023-05-15,134,39.95
17,001YPUL192,ChillStream,expired monthly,2023-01-01,2023-05-08,127,125.0
18,002CXBG255,CineQuest,expired annual,2023-01-01,2023-02-01,31,59.99
19,002EAAX725,CineQuest,paid monthly,2023-01-03,2023-02-14,42,24.02
20,002KIAG292,Pulse,expired monthly,2023-01-01,2023-02-17,47,16.0
21,002NLTJ592,Pulse,paid monthly,2023-01-27,2023-02-03,7,8.0
22,002NWGK515,Pulse,expired monthly,2023-01-01,2023-01-06,5,8.0
23,002RKAR661,ChillStream,expired monthly,2023-01-01,2023-02-06,36,50.02
24,002ZPKN335,Pulse,paid monthly,2023-02-12,2023-04-15,62,23.97
25,003AFDK971,CineQuest,expired monthly,2023-01-01,2023-03-01,59,24.0
26,003AUQO335,Pulse,expired annual,2023-01-01,2023-03-20,78,50.0
27,003HOFE542,RetroReel,expired monthly,2023-01-01,2023-05-13,132,150.0
28,003JAJC959,LimeLight,expired monthly,2023-01-01,2023-06-09,159,119.88
29,003OLXB119,Pulse,expired monthly,2023-01-01,2023-06-29,179,48.0
30,003TEQR186,CineQuest,expired monthly,2023-01-01,2023-05-07,126,60.0
31,003XKHS955,RetroReel,expired monthly,2023-01-01,2023-03-27,85,90.03
32,003XTUL243,CineQuest,paid monthly,2023-03-09,2023-05-15,67,35.97
33,003YXVZ587,RetroReel,expired monthly,2023-01-01,2023-03-11,69,90.03
34,003ZZGJ163,ChillStream,expired monthly,2023-01-01,2023-03-11,69,74.94
35,004AKNN688,ChillStream,expired monthly,2023-01-01,2023-05-27,146,124.94999999999999
36,004ERWY396,CineQuest,discounted monthly,2023-02-22,2023-04-01,38,23.98
37,004JKTR944,RetroReel,expired monthly,2023-01-01,2023-03-17,75,90.03
38,004JNYB810,Pulse,expired annual,2023-01-01,2023-03-30,88,49.99
39,004LDOW280,Pulse,expired monthly,2023-01-01,2023-04-17,106,32.0
40,004PAMY118,LimeLight,expired monthly,2023-01-01,2023-02-24,54,40.02
41,004SFGA279,LimeLight,expired annual,2023-01-01,2023-05-19,138,79.99
42,004SZWZ820,LimeLight,expired monthly,2023-01-01,2023-04-05,94,80.04
43,004SZWZ820,Pulse,expired monthly,2023-01-01,2023-03-23,81,23.97
44,004WBSE248,ChillStream,expired monthly,2023-01-01,2023-03-30,88,75.03
45,005AJTJ963,CineQuest,expired monthly,2023-01-01,2023-03-11,69,36.0
46,005AJTJ963,Pulse,expired annual,2023-01-01,2023-04-12,101,50.02
47,005CKJF445,LimeLight,expired monthly,2023-01-01,2023-04-19,108,80.0
48,005CRSD874,CineQuest,paid annual,2023-01-09,2023-06-17,159,60.0
49,005CRSD874,LimeLight,expired monthly,2023-01-01,2023-01-03,2,19.99
50,005DEST751,CineQuest,expired annual,2023-01-01,2023-05-08,127,60.0
51,005IKHP676,CineQuest,expired monthly,2023-01-01,2023-04-10,99,48.0
52,005ITHJ033,LimeLight,expired monthly,2023-01-01,2023-06-14,164,120.0
53,005KLHD033,LimeLight,expired annual,2023-01-01,2023-04-29,118,79.98
54,005MVVN443,Pulse,expired monthly,2023-01-01,2023-02-25,55,16.0
55,005RVSJ622,RetroReel,expired monthly,2023-01-01,2023-05-06,125,150.0
56,005UXRN097,ChillStream,expired monthly,2023-01-01,2023-01-11,10,25.01
57,005VGAL262,CineQuest,expired monthly,2023-01-01,2023-02-23,53,24.02
58,006CSAF205,LimeLight,expired monthly,2023-01-01,2023-02-21,51,40.02
59,006LZLE549,Pulse,expired monthly,2023-01-01,2023-04-30,119,32.0
60,006PDGI783,ChillStream,expired monthly,2023-01-01,2023-02-26,56,50.0
61,006RHZT505,LimeLight,expired monthly,2023-01-01,2023-02-09,39,40.02
62,006RHZT505,RetroReel,expired monthly,2023-01-01,2023-01-08,7,30.0
63,006WMXU263,RetroReel,expired monthly,2023-01-01,2023-05-06,125,149.95
64,007IAJO670,LimeLight,expired annual,2023-01-01,2023-06-10,160,80.0
65,007IHUT323,CineQuest,expired monthly,2023-01-01,2023-02-17,47,24.02
66,007JGRB024,LimeLight,expired monthly,2023-01-01,2023-05-06,125,100.05000000000001
67,007JNVU184,CineQuest,expired annual,2023-01-01,2023-04-23,112,59.99
68,007MVBQ657,CineQuest,expired monthly,2023-01-01,2023-05-26,145,60.099999999999994
69,007ODOF136,ChillStream,expired monthly,2023-01-01,2023-02-04,34,50.0
70,007QFVA399,LimeLight,expired monthly,2023-01-01,2023-03-11,69,59.97
71,007RBCZ425,Pulse,paid monthly,2023-04-23,2023-06-07,45,16.0
72,007SEZN754,ChillStream,expired annual,2023-01-01,2023-03-01,59,99.99
73,007SGGD254,CineQuest,expired monthly,2023-01-01,2023-05-16,135,59.95
74,007VTTS788,CineQuest,expired annual,2023-01-01,2023-05-09,128,60.0
75,007XAZW495,Pulse,expired monthly,2023-01-01,2023-04-27,116,31.96
76,008BYAI639,ChillStream,expired annual,2023-01-01,2023-02-22,52,99.99
77,008DFCS661,LimeLight,paid monthly,2023-01-29,2023-03-13,43,40.0
78,008HUFE310,CineQuest,expired monthly,2023-01-01,2023-05-29,148,60.0
79,008JIXA533,CineQuest,expired monthly,2023-01-01,2023-02-25,55,24.0
80,008JQHS769,Pulse,expired monthly,2023-01-01,2023-01-10,9,8.0
81,008JQHS769,Pulse,trial monthly,2023-02-19,2023-03-13,22,15.969999999999999
82,008KBIH389,CineQuest,expired monthly,2023-01-01,2023-02-28,58,24.0
83,008KZIC544,Pulse,expired annual,2023-01-01,2023-03-07,65,50.0
84,008PMLJ543,CineQuest,expired monthly,2023-01-01,2023-03-08,66,36.0
85,008RGLC003,Pulse,paid monthly,2023-02-07,2023-03-01,22,8.01
86,008RYDV189,Pulse,expired monthly,2023-01-01,2023-05-24,143,39.900000000000006
87,008RZUB139,ChillStream,expired monthly,2023-01-01,2023-02-02,32,50.04
88,008WMEQ926,Pulse,expired monthly,2023-01-01,2023-03-01,59,16.04
89,008ZBLA861,Pulse,expired annual,2023-01-01,2023-04-29,118,50.0
90,009CWCA119,Pulse,expired monthly,2023-01-01,2023-06-10,160,47.94
91,009FZVW489,ChillStream,expired annual,2023-01-01,2023-02-04,34,100.02
92,009GUTY233,RetroReel,expired monthly,2023-01-01,2023-01-25,24,30.0
93,009ILTP035,LimeLight,expired annual,2023-01-01,2023-03-30,88,80.01
94,009IZWB670,ChillStream,paid monthly,2023-03-15,2023-05-17,63,75.0
95,009NCAP692,CineQuest,expired monthly,2023-01-01,2023-01-28,27,12.0
96,009OXDM431,ChillStream,expired annual,2023-01-01,2023-02-14,44,100.01
97,009WCWO485,LimeLight,expired monthly,2023-01-01,2023-06-17,167,120.06
98,009YWEP229,LimeLight,paid monthly,2023-03-14,2023-05-05,52,39.96
99,010HJKY577,RetroReel,expired monthly,2023-01-01,2023-01-31,30,30.0
100,010KHRW889,Pulse,expired monthly,2023-01-01,2023-01-19,18,8.01
101,010QKEH462,ChillStream,expired monthly,2023-01-01,2023-06-03,153,149.94
102,010RECN467,Pulse,trial monthly,2023-01-27,2023-04-05,68,24.0
103,010VECF139,RetroReel,expired monthly,2023-01-01,2023-04-02,91,120.0
104,010ZCIU076,Pulse,paid monthly,2023-02-18,2023-05-08,79,23.97
105,011CJIS986,CineQuest,expired annual,2023-01-01,2023-03-25,83,60.0
106,011CQIW361,LimeLight,expired monthly,2023-01-01,2023-03-13,71,60.03
107,011ESHZ072,ChillStream,expired annual,2023-01-01,2023-02-02,32,100.0
108,011FKXG559,LimeLight,expired monthly,2023-01-01,2023-06-26,176,120.0
109,011GGIZ636,ChillStream,expired monthly,2023-01-01,2023-05-07,126,124.94999999999999
110,011GXVT794,Pulse,expired monthly,2023-01-01,2023-05-14,133,40.05
111,011HXJH357,ChillStream,expired monthly,2023-01-01,2023-06-21,171,150.06
112,011LSEX181,Pulse,expired monthly,2023-01-01,2023-03-31,89,24.0
113,011MWSU369,CineQuest,expired monthly,2023-01-01,2023-01-21,20,12.01
