,ID,BRAND,RECENCY,FREQUENCY,REVENUE,SUB,DATE
0,000ELOE240,LimeLight,66,1,80.01,['expired annual'],2023-04-25
1,000GTIY258,Pulse,178,1,7.98,['expired monthly'],2023-01-03
2,000LZCB553,RetroReel,168,1,30.0,['expired monthly'],2023-01-13
3,000ORNZ823,CineQuest,109,1,24.0,['paid monthly'],2023-03-13
4,000PGCL630,RetroReel,56,1,150.05,['expired monthly'],2023-05-05
5,000RKIJ792,Pulse,152,1,50.01,['expired annual'],2023-01-29
6,000UQTO352,LimeLight,81,1,80.0,['expired monthly'],2023-04-10
7,000VLET636,RetroReel,121,1,119.99,['expired annual'],2023-03-01
8,000YBDY680,Pulse,1,1,48.06,['expired monthly'],2023-06-29
9,000YZXN802,Pulse,142,1,8.0,['discounted monthly'],2023-02-08
10,001ARPK279,ChillStream,30,1,125.05000000000001,['expired monthly'],2023-05-31
11,001JYOY737,LimeLight,126,1,39.98,['expired monthly'],2023-02-24
12,001PIBK965,LimeLight,15,1,20.0,['paid monthly'],2023-06-15
13,001PILU789,CineQuest,26,1,60.0,['expired annual'],2023-06-04
14,001QBUN395,CineQuest,96,1,35.97,['expired monthly'],2023-03-26
15,001RLIN262,LimeLight,117,1,60.0,['expired monthly'],2023-03-05
16,001XPYF468,Pulse,46,1,39.95,['expired monthly'],2023-05-15
17,001YPUL192,ChillStream,53,1,125.0,['expired monthly'],2023-05-08
18,002CXBG255,CineQuest,149,1,59.99,['expired annual'],2023-02-01
19,002EAAX725,CineQuest,136,1,24.02,['paid monthly'],2023-02-14
20,002KIAG292,Pulse,133,1,16.0,['expired monthly'],2023-02-17
21,002NLTJ592,Pulse,147,1,8.0,['paid monthly'],2023-02-03
22,002NWGK515,Pulse,175,1,8.0,['expired monthly'],2023-01-06
23,002RKAR661,ChillStream,144,1,50.02,['expired monthly'],2023-02-06
24,002ZPKN335,Pulse,76,1,23.97,['paid monthly'],2023-04-15
25,003AFDK971,CineQuest,121,1,24.0,['expired monthly'],2023-03-01
26,003AUQO335,Pulse,102,1,50.0,['expired annual'],2023-03-20
27,003HOFE542,RetroReel,48,1,150.0,['expired monthly'],2023-05-13
28,003JAJC959,LimeLight,21,1,119.88,['expired monthly'],2023-06-09
29,003OLXB119,Pulse,1,1,48.0,['expired monthly'],2023-06-29
30,003TEQR186,CineQuest,54,1,60.0,['expired monthly'],2023-05-07
31,003XKHS955,RetroReel,95,1,90.03,['expired monthly'],2023-03-27
32,003XTUL243,CineQuest,46,1,35.97,['paid monthly'],2023-05-15
33,003YXVZ587,RetroReel,111,1,90.03,['expired monthly'],2023-03-11
34,003ZZGJ163,ChillStream,111,1,74.94,['expired monthly'],2023-03-11
35,004AKNN688,ChillStream,34,1,124.94999999999999,['expired monthly'],2023-05-27
36,004ERWY396,CineQuest,90,1,23.98,['discounted monthly'],2023-04-01
37,004JKTR944,RetroReel,105,1,90.03,['expired monthly'],2023-03-17
38,004JNYB810,Pulse,92,1,49.99,['expired annual'],2023-03-30
39,004LDOW280,Pulse,74,1,32.0,['expired monthly'],2023-04-17
40,004PAMY118,LimeLight,126,1,40.02,['expired monthly'],2023-02-24
41,004SFGA279,LimeLight,42,1,79.99,['expired annual'],2023-05-19
42,004SZWZ820,LimeLight,86,1,80.04,['expired monthly'],2023-04-05
43,004SZWZ820,Pulse,99,1,23.97,['expired monthly'],2023-03-23
44,004WBSE248,ChillStream,92,1,75.03,['expired monthly'],2023-03-30
45,005AJTJ963,CineQuest,111,1,36.0,['expired monthly'],2023-03-11
46,005AJTJ963,Pulse,79,1,50.02,['expired annual'],2023-04-12
47,005CKJF445,LimeLight,72,1,80.0,['expired monthly'],2023-04-19
48,005CRSD874,CineQuest,13,1,60.0,['paid annual'],2023-06-17
49,005CRSD874,LimeLight,178,1,19.99,['expired monthly'],2023-01-03
50,005DEST751,CineQuest,53,1,60.0,['expired annual'],2023-05-08
51,005IKHP676,CineQuest,81,1,48.0,['expired monthly'],2023-04-10
52,005ITHJ033,LimeLight,16,1,120.0,['expired monthly'],2023-06-14
53,005KLHD033,LimeLight,62,1,79.98,['expired annual'],2023-04-29
54,005MVVN443,Pulse,125,1,16.0,['expired monthly'],2023-02-25
55,005RVSJ622,RetroReel,55,1,150.0,['expired monthly'],2023-05-06
56,005UXRN097,ChillStream,170,1,25.01,['expired monthly'],2023-01-11
57,005VGAL262,CineQuest,127,1,24.02,['expired monthly'],2023-02-23
58,006CSAF205,LimeLight,129,1,40.02,['expired monthly'],2023-02-21
59,006LZLE549,Pulse,61,1,32.0,['expired monthly'],2023-04-30
60,006PDGI783,ChillStream,124,1,50.0,['expired monthly'],2023-02-26
61,006RHZT505,LimeLight,141,1,40.02,['expired monthly'],2023-02-09
62,006RHZT505,RetroReel,173,1,30.0,['expired monthly'],2023-01-08
63,006WMXU263,RetroReel,55,1,149.95,['expired monthly'],2023-05-06
64,007IAJO670,LimeLight,20,1,80.0,['expired annual'],2023-06-10
65,007IHUT323,CineQuest,133,1,24.02,['expired monthly'],2023-02-17
66,007JGRB024,LimeLight,55,1,100.05000000000001,['expired monthly'],2023-05-06
67,007JNVU184,CineQuest,68,1,59.99,['expired annual'],2023-04-23
68,007MVBQ657,CineQuest,35,1,60.099999999999994,['expired monthly'],2023-05-26
69,007ODOF136,ChillStream,146,1,50.0,['expired monthly'],2023-02-04
70,007QFVA399,LimeLight,111,1,59.97,['expired monthly'],2023-03-11
71,007RBCZ425,Pulse,23,1,16.0,['paid monthly'],2023-06-07
72,007SEZN754,ChillStream,121,1,99.99,['expired annual'],2023-03-01
73,007SGGD254,CineQuest,45,1,59.95,['expired monthly'],2023-05-16
74,007VTTS788,CineQuest,52,1,60.0,['expired annual'],2023-05-09
75,007XAZW495,Pulse,64,1,31.96,['expired monthly'],2023-04-27
76,008BYAI639,ChillStream,128,1,99.99,['expired annual'],2023-02-22
77,008DFCS661,LimeLight,109,1,40.0,['paid monthly'],2023-03-13
78,008HUFE310,CineQuest,32,1,60.0,['expired monthly'],2023-05-29
79,008JIXA533,CineQuest,125,1,24.0,['expired monthly'],2023-02-25
80,008JQHS769,Pulse,109,1,23.97,"['expired monthly', 'trial monthly']",2023-03-13
81,008KBIH389,CineQuest,122,1,24.0,['expired monthly'],2023-02-28
82,008KZIC544,Pulse,115,1,50.0,['expired annual'],2023-03-07
83,008PMLJ543,CineQuest,114,1,36.0,['expired monthly'],2023-03-08
84,008RGLC003,Pulse,121,1,8.01,['paid monthly'],2023-03-01
85,008RYDV189,Pulse,37,1,39.900000000000006,['expired monthly'],2023-05-24
86,008RZUB139,ChillStream,148,1,50.04,['expired monthly'],2023-02-02
87,008WMEQ926,Pulse,121,1,16.04,['expired monthly'],2023-03-01
88,008ZBLA861,Pulse,62,1,50.0,['expired annual'],2023-04-29
89,009CWCA119,Pulse,20,1,47.94,['expired monthly'],2023-06-10
90,009FZVW489,ChillStream,146,1,100.02,['expired annual'],2023-02-04
91,009GUTY233,RetroReel,156,1,30.0,['expired monthly'],2023-01-25
92,009ILTP035,LimeLight,92,1,80.01,['expired annual'],2023-03-30
93,009IZWB670,ChillStream,44,1,75.0,['paid monthly'],2023-05-17
94,009NCAP692,CineQuest,153,1,12.0,['expired monthly'],2023-01-28
95,009OXDM431,ChillStream,136,1,100.01,['expired annual'],2023-02-14
96,009WCWO485,LimeLight,13,1,120.06,['expired monthly'],2023-06-17
97,009YWEP229,LimeLight,56,1,39.96,['paid monthly'],2023-05-05
98,010HJKY577,RetroReel,150,1,30.0,['expired monthly'],2023-01-31
99,010KHRW889,Pulse,162,1,8.01,['expired monthly'],2023-01-19
100,010QKEH462,ChillStream,27,1,149.94,['expired monthly'],2023-06-03
101,010RECN467,Pulse,86,1,24.0,['trial monthly'],2023-04-05
102,010VECF139,RetroReel,89,1,120.0,['expired monthly'],2023-04-02
103,010ZCIU076,Pulse,53,1,23.97,['paid monthly'],2023-05-08
104,011CJIS986,CineQuest,97,1,60.0,['expired annual'],2023-03-25
