,ID,BRAND,SUB_DETAIL,AMOUNT,START_DATE,END_DATE,DURATION,REVENUE
1,000AHHU956,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
3,000BRHY264,CineQuest,paid annual,60.0,2023-01-01,2023-06-30,181.0,60.0
5,000DJKK225,CineQuest,paid monthly,12.0,2023-01-01,2023-06-30,181.0,84.0
8,000EFUI271,LimeLight,paid annual,80.01,2023-01-01,2023-06-30,181.0,80.01
9,000ELOE240,LimeLight,trial annual,51.62,2023-01-01,2023-04-25,115.0,0.0
11,000ENIY291,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
12,000ESDW551,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
13,000FBYF129,RetroReel,paid monthly,30.01,2023-01-01,2023-06-30,181.0,210.07000000000002
16,000GTIY258,Pulse,paid monthly,8.0,2023-01-01,2023-01-03,3.0,24.099999999999994
17,000JNLK053,CineQuest,paid monthly,12.01,2023-01-01,2023-06-30,181.0,84.07
18,000KGEM860,CineQuest,paid monthly,12.01,2023-01-01,2023-06-30,181.0,84.07
19,000KREJ709,RetroReel,paid monthly,30.02,2023-01-01,2023-06-30,181.0,210.14
20,000LZCB553,RetroReel,trial monthly,10.07,2023-01-01,2023-01-13,13.0,10.069999999999993
22,000NKPB626,ChillStream,paid monthly,25.01,2023-04-05,2023-06-30,87.0,75.03
25,000ORNZ823,CineQuest,paid monthly,11.99,2023-02-09,2023-03-13,32.0,112.7
26,000ORNZ823,CineQuest,paid monthly,12.0,2023-04-18,2023-06-30,74.0,36.0
27,000PDZG668,LimeLight,paid annual,80.01,2023-01-01,2023-06-30,181.0,80.01
28,000PGCL630,ChillStream,paid monthly,24.99,2023-01-01,2023-06-30,181.0,174.92999999999998
29,000PGCL630,RetroReel,expired monthly,30.01,2023-01-01,2023-05-05,124.0,120.04000000000002
33,000QEVH452,LimeLight,paid annual,80.0,2023-05-18,2023-06-30,44.0,80.0
34,000RCRI318,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
35,000RKIJ792,Pulse,paid annual,50.0,2023-01-01,2023-01-29,29.0,0.0
37,000SDWN043,LimeLight,paid annual,80.0,2023-02-07,2023-06-30,144.0,80.0
40,000SJSR665,Pulse,paid monthly,8.0,2023-05-28,2023-06-30,34.0,16.0
41,000TFKR237,RetroReel,paid annual,119.99,2023-01-01,2023-06-30,181.0,119.99
43,000TMFK922,CineQuest,paid monthly,12.0,2023-01-01,2023-06-30,181.0,84.0
44,000TMFK922,Pulse,paid annual,50.01,2023-01-01,2023-06-30,181.0,50.01
47,000TOJT688,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
