,ID,BRAND,SUB_DETAIL,AMOUNT,START_DATE,END_DATE,DURATION,REVENUE
1,000AHHU956,RetroReel,paid monthly,29.99,2023-07-01,2023-10-28,120.0,149.97
2,000AHHU956,RetroReel,trial monthly,11.18,2023-11-05,2023-12-31,56.0,22.36
3,000BRHY264,CineQuest,paid annual,60.0,2023-07-01,2023-10-17,109.0,0.0
5,000DJKK225,CineQuest,paid monthly,12.0,2023-07-01,2023-12-31,184.0,60.0
7,000DTPC747,LimeLight,paid annual,80.0,2023-08-31,2023-12-31,122.0,80.0
8,000EFUI271,LimeLight,paid annual,80.01,2023-07-01,2023-12-31,184.0,0.0
10,000ELOE240,LimeLight,paid annual,80.01,2023-11-27,2023-12-31,34.0,80.01
11,000ENIY291,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,184.0,180.0
12,000ESDW551,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,184.0,180.0
13,000FBYF129,RetroReel,paid monthly,30.01,2023-07-01,2023-12-31,184.0,150.04999999999998
14,000FJHB065,RetroReel,paid monthly,30.0,2023-11-09,2023-12-31,52.0,60.0
15,000GTIY258,LimeLight,discounted monthly,15.41,2023-08-17,2023-12-31,136.0,77.05
17,000JNLK053,CineQuest,paid monthly,12.01,2023-07-01,2023-11-23,146.0,48.04000000000002
18,000KGEM860,CineQuest,paid monthly,12.01,2023-07-01,2023-11-17,140.0,48.04000000000002
19,000KREJ709,RetroReel,paid monthly,30.02,2023-07-01,2023-12-31,184.0,150.10000000000008
21,000LZCB553,RetroReel,paid monthly,30.01,2023-09-08,2023-12-31,114.0,120.04
22,000NKPB626,ChillStream,paid monthly,25.01,2023-07-01,2023-12-31,183.0,150.06
26,000ORNZ823,CineQuest,paid monthly,12.0,2023-07-01,2023-12-12,164.0,172.7
27,000PDZG668,LimeLight,paid annual,80.01,2023-07-01,2023-08-23,54.0,0.0
28,000PGCL630,ChillStream,paid monthly,24.99,2023-07-01,2023-12-31,184.0,124.95000000000002
30,000PGCL630,RetroReel,paid annual,119.99,2023-09-29,2023-12-31,93.0,119.99
32,000QBES821,CineQuest,paid annual,60.01,2023-10-10,2023-12-31,82.0,60.01
33,000QEVH452,LimeLight,paid annual,80.0,2023-07-01,2023-12-31,183.0,0.0
34,000RCRI318,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,184.0,180.0
36,000RKIJ792,Pulse,paid monthly,8.0,2023-08-19,2023-12-31,134.0,40.0
37,000SDWN043,LimeLight,paid annual,80.0,2023-07-01,2023-12-31,183.0,0.0
40,000SJSR665,Pulse,paid monthly,8.0,2023-07-01,2023-12-31,183.0,48.0
41,000TFKR237,RetroReel,paid annual,119.99,2023-07-01,2023-12-31,184.0,0.0
43,000TMFK922,CineQuest,paid monthly,12.0,2023-07-01,2023-12-17,170.0,108.0
44,000TMFK922,Pulse,paid annual,50.01,2023-07-01,2023-08-06,37.0,0.0
45,000TMFK922,Pulse,trial monthly,2.86,2023-11-09,2023-12-31,52.0,5.72
47,000TOJT688,LimeLight,paid monthly,20.01,2023-07-01,2023-12-31,184.0,100.04999999999998
49,000TOJT688,Pulse,paid monthly,7.99,2023-09-29,2023-12-31,93.0,31.96
50,000TOJT688,RetroReel,expired monthly,30.01,2023-07-01,2023-08-06,36.0,2.842170943040401e-14
51,000TXEC968,RetroReel,paid monthly,29.99,2023-08-24,2023-12-31,129.0,149.95
52,000TZZT543,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,184.0,150.0
54,000UCAC008,CineQuest,paid monthly,11.99,2023-07-01,2023-12-18,171.0,95.97999999999999
55,000UJBA972,RetroReel,paid monthly,29.99,2023-07-01,2023-12-31,184.0,149.95000000000002
56,000ULLT010,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,184.0,150.0
57,000UPJQ162,RetroReel,paid annual,120.01,2023-07-01,2023-12-31,184.0,0.0
59,000UQTO352,LimeLight,paid annual,80.01,2023-08-11,2023-12-31,142.0,80.01
61,000UQTO352,Pulse,discounted annual,49.04,2023-07-01,2023-12-31,183.0,0.0
62,000UTKY023,Pulse,paid monthly,8.0,2023-07-01,2023-08-09,40.0,8.0
65,000VITQ690,CineQuest,paid monthly,12.01,2023-11-30,2023-12-31,31.0,24.02
67,000XORN373,ChillStream,paid annual,100.01,2023-07-01,2023-12-31,184.0,0.0
69,000XYZK575,Pulse,paid annual,50.0,2023-07-01,2023-12-31,183.0,0.0
71,000YBDY680,Pulse,paid monthly,8.01,2023-07-15,2023-12-31,169.0,48.06
73,000YRER318,CineQuest,paid monthly,11.99,2023-07-01,2023-12-31,183.0,71.94000000000001
74,000YUBG396,RetroReel,paid monthly,29.98,2023-07-01,2023-12-12,165.0,149.90000000000003
75,000YWTK044,Pulse,paid annual,50.01,2023-07-01,2023-12-31,184.0,0.0
77,000YZXN802,Pulse,paid monthly,8.0,2023-07-01,2023-08-31,61.0,20.259999999999998
78,000YZXN802,Pulse,paid monthly,8.0,2023-09-16,2023-12-31,106.0,32.0
79,000ZBDO909,LimeLight,paid monthly,20.0,2023-07-01,2023-12-31,184.0,100.0
80,001AJCT513,ChillStream,paid monthly,25.01,2023-07-01,2023-09-30,92.0,75.03
82,001ARPK279,ChillStream,discounted monthly,11.52,2023-07-01,2023-07-23,22.0,236.60999999999999
83,001ARPK279,ChillStream,discounted monthly,24.99,2023-10-05,2023-12-31,87.0,74.97
84,001AVSB880,LimeLight,paid monthly,20.0,2023-07-01,2023-12-31,184.0,100.0
85,001BQUT830,ChillStream,paid annual,100.0,2023-07-28,2023-12-31,156.0,100.0
86,001BZBX615,RetroReel,paid annual,120.0,2023-07-01,2023-12-31,184.0,0.0
88,001DJNA725,LimeLight,paid annual,79.99,2023-09-21,2023-12-31,101.0,79.99
90,001DLTR482,CineQuest,paid monthly,12.0,2023-07-01,2023-12-31,183.0,72.0
91,001FSQJ082,ChillStream,paid monthly,25.0,2023-07-01,2023-12-31,184.0,150.0
92,001GBJC687,LimeLight,paid monthly,20.02,2023-07-01,2023-12-31,184.0,100.1
93,001GUVF664,LimeLight,paid annual,80.01,2023-07-01,2023-07-12,12.0,0.0
94,001GUVF664,LimeLight,paid monthly,19.99,2023-10-26,2023-12-31,66.0,59.97
95,001HERX577,RetroReel,paid monthly,30.0,2023-08-11,2023-12-31,142.0,150.0
96,001JDME989,LimeLight,paid annual,80.0,2023-07-01,2023-12-31,183.0,0.0
98,001KIWF507,RetroReel,paid monthly,29.99,2023-07-01,2023-12-31,184.0,149.95000000000002
99,001LPDP619,Pulse,paid monthly,8.01,2023-07-01,2023-12-31,184.0,40.050000000000004
100,001MJIH685,Pulse,paid annual,50.01,2023-07-01,2023-07-31,31.0,0.0
101,001MJIH685,Pulse,discounted monthly,2.88,2023-12-19,2023-12-31,12.0,2.88
103,001NKRX135,Pulse,paid monthly,8.01,2023-09-28,2023-12-31,94.0,32.04
104,001NOKZ662,CineQuest,paid annual,60.0,2023-07-01,2023-12-31,184.0,0.0
