ID,NETWORK,DAYS_AFTER_LAST_WATCH,DAYS_AFTER_FIRST_WATCH,NUM_SESSIONS,UNIQUE_GENRES_WATCHED,UNIQUE_PROGRAMS_WATCHED,MEAN_DURATION_MINUTES,SUM_DURATION_MINUTES,SUM_AD_REVENUE
000AHHU956,RetroReel,218,218,1,1,1,16.8,16.8,0.07
000AUEW012,Adrenaline,185,185,1,1,1,81.1,81.1,0.34
000AZAF724,Adrenaline,7,7,1,1,1,43.4,43.4,0.18
000AZAF724,DarkMatter,194,194,1,1,1,10.3,10.3,0.04
000BRHY264,CineQuest,8,8,1,1,1,97.3,97.3,0.41
000CXDK015,DesignLab,335,335,1,1,1,10.4,10.4,0.04
000DJKK225,CineQuest,248,248,1,1,1,37.9,37.9,0.16
000ELOE240,LimeLight,71,71,1,1,1,43.6,43.6,0.18
000ESDW551,RetroReel,129,129,1,1,1,64.1,64.1,0.27
000EXRF680,PopCulture Now,295,295,1,1,1,57.8,57.8,0.24
000EXRF680,TasteMakers,92,92,1,1,1,105.6,105.6,0.44
000FBYF129,RetroReel,272,272,1,1,1,49.6,49.6,0.21
000FJHB065,RetroReel,105,105,1,1,1,122.8,122.8,0.51
000GTIY258,PopCulture Now,286,286,1,1,1,61.3,61.3,0.26
000GTIY258,TasteMakers,131,131,1,1,1,103.1,103.1,0.43
000IBLG765,Adrenaline,239,239,1,1,1,40.9,40.9,0.17
000IBLG765,DarkMatter,162,162,1,1,1,21.5,21.5,0.09
000JNLK053,CineQuest,179,179,1,1,1,122.4,122.4,0.51
000KEZL712,Adrenaline,118,118,1,1,1,84.6,84.6,0.35
000KEZL712,DarkMatter,140,140,1,1,1,88.2,88.2,0.37
000KGEM860,CineQuest,276,323,2,2,2,63.5,127.0,0.53
000KGEM860,RetroReel,60,60,1,1,1,31.5,31.5,0.13
000KREJ709,RetroReel,257,257,1,1,1,77.5,77.5,0.32
000KXBG202,DesignLab,297,297,1,1,1,25.0,25.0,0.1
000KXBG202,PopCulture Now,82,82,1,1,1,45.4,45.4,0.19
000LPBE125,TasteMakers,2,2,1,1,1,47.9,47.9,0.2
000LZCB553,RetroReel,112,112,1,1,1,88.2,88.2,0.37
000NHUB915,Adrenaline,15,28,2,1,2,41.8,83.6,0.35
000NKPB626,ChillStream,21,54,2,1,1,53.45,106.9,0.45
000ORNZ823,CineQuest,323,323,1,1,1,118.8,118.8,0.5
000PGCL630,ChillStream,201,201,1,1,1,110.9,110.9,0.46
000PGCL630,RetroReel,51,196,2,2,2,88.55,177.1,0.74
000QEVH452,LimeLight,325,325,1,1,1,95.6,95.6,0.4
000RJCH773,DarkMatter,172,172,1,1,1,76.7,76.7,0.32
000RKIJ792,Pulse,176,176,1,1,1,47.3,47.3,0.2
000SDWN043,DesignLab,257,257,1,1,1,69.0,69.0,0.29
000SDWN043,PopCulture Now,22,230,2,1,2,8.65,17.3,0.07
000SDWN043,TasteMakers,188,188,1,1,1,13.1,13.1,0.05
000SKUY871,DesignLab,45,45,1,1,1,74.1,74.1,0.31
000SKUY871,PopCulture Now,111,111,1,1,1,22.9,22.9,0.1
000TOJT688,LimeLight,215,215,1,1,1,122.7,122.7,0.51
000TQOV267,Adrenaline,258,258,1,1,1,39.7,39.7,0.17
000TQOV267,DarkMatter,294,294,1,1,1,112.7,112.7,0.47
000TZZT543,RetroReel,336,336,1,1,1,14.6,14.6,0.06
000UJBA972,RetroReel,86,86,1,1,1,28.7,28.7,0.12
000ULLT010,RetroReel,61,61,1,1,1,89.6,89.6,0.37
000UQTO352,PopCulture Now,226,226,1,1,1,60.1,60.1,0.25
000UQTO352,Pulse,154,154,1,1,1,10.9,10.9,0.05
000UQTO352,TasteMakers,171,171,1,1,1,17.8,17.8,0.07
000UTYS739,DesignLab,46,46,1,1,1,20.2,20.2,0.08
000VJAK195,PopCulture Now,33,33,1,1,1,31.3,31.3,0.13
000WKTX518,DesignLab,316,316,1,1,1,74.0,74.0,0.31
000WKTX518,PopCulture Now,164,335,2,1,2,46.3,92.6,0.39
000XORN373,ChillStream,303,303,1,1,1,117.0,117.0,0.49
000XYZK575,Adrenaline,362,362,1,1,1,75.4,75.4,0.31
000XYZK575,Pulse,97,97,1,1,1,102.0,102.0,0.42
000YDXA553,DesignLab,96,96,1,1,1,24.9,24.9,0.1
000YDXA553,TasteMakers,294,294,1,1,1,84.5,84.5,0.35
000YRER318,CineQuest,59,59,1,1,1,59.6,59.6,0.25
000YWTK044,Adrenaline,83,83,1,1,1,53.7,53.7,0.22
001AGEC536,PopCulture Now,259,259,1,1,1,11.9,11.9,0.05
001AGEC536,TasteMakers,313,313,1,1,1,34.3,34.3,0.14
001AJCT513,ChillStream,95,95,1,1,1,63.0,63.0,0.26
001ARPK279,ChillStream,317,317,1,1,1,83.7,83.7,0.35
001AVSB880,LimeLight,80,80,1,1,1,118.7,118.7,0.49
001AVSB880,PopCulture Now,6,6,1,1,1,57.2,57.2,0.24
001AZMW145,Adrenaline,130,130,1,1,1,67.0,67.0,0.28
001BQUT830,ChillStream,355,355,1,1,1,11.6,11.6,0.05
001DJNA725,LimeLight,47,47,1,1,1,29.2,29.2,0.12
001EHMV802,TasteMakers,60,257,2,1,2,92.75,185.5,0.77
001EWDI465,Adrenaline,228,228,1,1,1,106.4,106.4,0.44
001EWDI465,DarkMatter,223,223,1,1,1,69.1,69.1,0.29
001FRCO413,DarkMatter,241,241,1,1,1,113.4,113.4,0.47
001FSQJ082,ChillStream,263,263,1,1,1,72.6,72.6,0.3
001FYXD671,Adrenaline,28,28,1,1,1,60.7,60.7,0.25
001FYXD671,DarkMatter,58,58,1,1,1,102.7,102.7,0.43
001GBJC687,DesignLab,273,273,1,1,1,19.3,19.3,0.08
001GBJC687,PopCulture Now,23,23,1,1,1,16.0,16.0,0.07
001GSRQ968,Adrenaline,61,61,1,1,1,104.1,104.1,0.43
001GSRQ968,DarkMatter,48,48,1,1,1,11.7,11.7,0.05
001HERX577,RetroReel,230,230,1,1,1,51.7,51.7,0.22
