ID,NETWORK,DAYS_AFTER_LAST_WATCH,DAYS_AFTER_FIRST_WATCH,NUM_SESSIONS,UNIQUE_GENRES_WATCHED,UNIQUE_PROGRAMS_WATCHED,MEAN_DURATION_MINUTES,SUM_DURATION_MINUTES,SUM_AD_REVENUE
000CXDK015,DesignLab,47,47,1,1,1,54.7,54.7,0.23
000EFUI271,LimeLight,56,56,1,1,1,31.9,31.9,0.13
000ESDW551,RetroReel,4,4,1,1,1,104.0,104.0,0.43
000GTIY258,LimeLight,90,90,1,1,1,57.1,57.1,0.24
000IYQE492,DarkMatter,102,102,1,1,1,49.4,49.4,0.21
000KXBG202,TasteMakers,75,75,1,1,1,23.9,23.9,0.1
000LPBE125,DesignLab,6,6,2,1,1,51.9,103.8,0.43
000MNFV649,DarkMatter,10,14,4,1,2,25.9,103.6,0.43
000NHUB915,DarkMatter,162,162,1,1,1,99.5,99.5,0.41
000ORNZ823,CineQuest,30,30,2,1,1,105.8,211.6,0.88
000PISH142,DarkMatter,96,96,1,1,1,11.8,11.8,0.05
000QEVH452,LimeLight,30,30,1,1,1,77.4,77.4,0.32
000RCRI318,RetroReel,172,172,1,1,1,13.2,13.2,0.06
000SDWN043,LimeLight,51,51,1,1,1,80.5,80.5,0.34
000SKUY871,TasteMakers,164,164,1,1,1,58.6,58.6,0.24
000TFKR237,RetroReel,9,9,2,1,1,41.8,83.6,0.35
000TMFK922,CineQuest,165,165,1,1,1,14.4,14.4,0.06
000TMFK922,Pulse,26,26,1,1,1,73.7,73.7,0.31
000TOJT688,ChillStream,137,137,1,1,1,79.2,79.2,0.33
000TOJT688,RetroReel,65,65,1,1,1,68.8,68.8,0.29
000TQOV267,DarkMatter,58,58,1,1,1,52.2,52.2,0.22
000TXEC968,RetroReel,169,169,1,1,1,82.4,82.4,0.34
000TZZT543,RetroReel,35,35,2,1,1,106.8,213.6,0.89
000UQTO352,PopCulture Now,87,87,1,1,1,30.1,30.1,0.13
000UTYS739,DesignLab,17,17,2,1,1,16.7,33.4,0.14
000YUBG396,RetroReel,173,173,1,1,1,84.8,84.8,0.35
001AGEC536,DesignLab,172,172,1,1,1,10.2,10.2,0.04
001AJCT513,ChillStream,15,15,2,1,1,124.3,248.6,1.04
001BZBX615,RetroReel,27,27,1,1,1,39.1,39.1,0.16
001EHMV802,PopCulture Now,80,80,1,1,1,75.8,75.8,0.32
001EWDI465,DarkMatter,3,3,1,1,1,55.7,55.7,0.23
001FRCO413,Adrenaline,81,81,1,1,1,9.7,9.7,0.04
001FYXD671,Adrenaline,171,171,1,1,1,78.8,78.8,0.33
001FYXD671,DarkMatter,137,137,1,1,1,14.9,14.9,0.06
001GBJC687,TasteMakers,52,53,2,1,2,57.55,115.1,0.48
001GUVF664,LimeLight,134,163,2,2,2,53.15,106.3,0.44
001MIEQ655,DesignLab,149,149,1,1,1,15.3,15.3,0.06
001MJIH685,Adrenaline,21,21,2,1,1,90.6,181.2,0.75
001MJIH685,Pulse,14,14,2,1,1,118.5,237.0,0.99
001MLRX788,DesignLab,173,173,1,1,1,38.6,38.6,0.16
001MLRX788,TasteMakers,47,47,1,1,1,31.9,31.9,0.13
001NOKZ662,RetroReel,130,167,2,2,2,95.35,190.7,0.79
001NSIA232,PopCulture Now,140,140,1,1,1,84.7,84.7,0.35
001QALY142,Adrenaline,92,92,1,1,1,17.9,17.9,0.07
001QFYM025,DesignLab,179,179,1,1,1,39.3,39.3,0.16
001QFYM025,TasteMakers,135,135,1,1,1,107.5,107.5,0.45
001RMEG541,PopCulture Now,4,4,2,1,1,71.2,142.4,0.59
001SIVU071,Pulse,31,31,2,1,1,49.6,99.2,0.41
001SQXC187,CineQuest,125,125,1,1,1,119.6,119.6,0.5
001SXFZ276,ChillStream,61,61,1,1,1,65.2,65.2,0.27
001TTLN903,CineQuest,176,176,1,1,1,68.0,68.0,0.28
001UAHA863,ChillStream,64,108,2,2,2,65.25,130.5,0.54
001UAHA863,CineQuest,39,39,2,1,1,76.3,152.6,0.64
001UAHA863,RetroReel,45,45,2,1,1,75.6,151.2,0.63
001UNNH865,RetroReel,168,168,1,1,1,66.9,66.9,0.28
001UZAD800,PopCulture Now,16,16,2,1,1,79.3,158.6,0.66
001WKVX393,TasteMakers,119,119,1,1,1,52.8,52.8,0.22
001WZZE262,LimeLight,126,126,1,1,1,106.0,106.0,0.44
001XMGM166,DesignLab,36,36,2,1,1,56.8,113.6,0.47
001XMGM166,PopCulture Now,107,171,2,1,2,25.85,51.7,0.22
001XMGM166,TasteMakers,169,169,1,1,1,51.5,51.5,0.21
002ACTU634,PopCulture Now,37,37,2,1,1,63.0,126.0,0.53
002ANIL633,DarkMatter,92,92,1,1,1,102.0,102.0,0.42
002ANIL633,Pulse,20,20,1,1,1,88.8,88.8,0.37
002AOWO547,LimeLight,102,102,1,1,1,114.4,114.4,0.48
002CREJ862,Adrenaline,157,157,1,1,1,95.9,95.9,0.4
002CREJ862,Pulse,165,165,1,1,1,34.4,34.4,0.14
002EDPQ098,DesignLab,162,162,1,1,1,61.3,61.3,0.26
002EDPQ098,TasteMakers,82,82,1,1,1,52.8,52.8,0.22
002EXCW867,RetroReel,16,16,2,1,1,108.7,217.4,0.91
002EXCW867,TasteMakers,170,170,1,1,1,41.2,41.2,0.17
002FCKO341,RetroReel,20,20,2,1,1,26.2,52.4,0.22
002GOMV479,DesignLab,140,140,1,1,1,52.4,52.4,0.22
002GWWN777,Adrenaline,42,97,3,1,2,57.67,173.0,0.72
002IWPX234,CineQuest,164,164,1,1,1,87.5,87.5,0.36
002JYSZ401,LimeLight,176,176,1,1,1,104.7,104.7,0.44
002KBTX257,ChillStream,13,156,2,1,2,110.8,221.6,0.92
002KPEI614,LimeLight,3,3,2,1,1,65.6,131.2,0.55
002LXTJ344,DesignLab,30,30,1,1,1,61.0,61.0,0.25
002MYOP233,RetroReel,0,0,2,1,1,28.2,56.4,0.23
002NWGK515,Pulse,36,36,2,1,1,66.1,132.2,0.55
002OFHC379,Pulse,68,68,1,1,1,13.6,13.6,0.06
002OHHT519,Pulse,30,30,1,1,1,123.0,123.0,0.51
002RIEU470,CineQuest,98,98,1,1,1,79.4,79.4,0.33
002RYOA618,DarkMatter,15,15,2,1,1,40.3,80.6,0.34
002TXJY319,DesignLab,145,145,1,1,1,12.5,12.5,0.05
002TXJY319,TasteMakers,172,172,1,1,1,7.6,7.6,0.03
002UKOK876,PopCulture Now,90,90,1,1,1,29.2,29.2,0.12
002UYEH047,Pulse,21,21,2,1,1,124.9,249.8,1.04
002VEPI191,DesignLab,109,109,1,1,1,52.4,52.4,0.22
002VKQJ659,DarkMatter,20,20,2,1,1,50.5,101.0,0.42
002WFWA113,PopCulture Now,35,35,2,1,1,77.3,154.6,0.64
002WFWA113,TasteMakers,154,154,1,1,1,95.4,95.4,0.4
002WKIG010,DarkMatter,119,119,1,1,1,78.9,78.9,0.33
002WLPQ611,TasteMakers,24,24,2,1,1,98.2,196.4,0.82
002WNLG010,Adrenaline,126,126,1,1,1,91.1,91.1,0.38
002WNLG010,DarkMatter,9,9,2,1,1,8.6,17.2,0.07
002XLWQ630,ChillStream,21,141,3,2,2,63.93,191.8,0.8
002YAVY865,PopCulture Now,103,103,1,1,1,21.4,21.4,0.09
002YAVY865,TasteMakers,45,45,2,1,1,88.6,177.2,0.74
002ZPKN335,Pulse,10,10,1,1,1,47.4,47.4,0.2
003ALLO210,DesignLab,98,98,1,1,1,35.3,35.3,0.15
003ANID263,PopCulture Now,58,58,1,1,1,45.9,45.9,0.19
003DMMB179,TasteMakers,33,119,3,1,2,79.6,238.8,0.99
003EDBH062,DesignLab,70,70,1,1,1,27.3,27.3,0.11
003EDBH062,PopCulture Now,52,52,1,1,1,40.6,40.6,0.17
003EDBH062,TasteMakers,41,41,2,1,1,7.3,14.6,0.06
003FHPQ342,CineQuest,120,120,1,1,1,87.5,87.5,0.36
003FXVZ713,Adrenaline,61,61,1,1,1,113.0,113.0,0.47
003FXVZ713,Pulse,108,108,1,1,1,45.2,45.2,0.19
003GPNN238,DesignLab,23,23,1,1,1,55.6,55.6,0.23
003GPNN238,LimeLight,25,25,2,1,1,45.5,91.0,0.38
003GUXZ650,DesignLab,16,169,2,1,2,36.4,72.8,0.3
003GUXZ650,TasteMakers,145,145,1,1,1,80.9,80.9,0.34
003GXGQ842,DesignLab,132,132,1,1,1,61.0,61.0,0.25
003GXGQ842,TasteMakers,158,158,1,1,1,105.1,105.1,0.44
003HOFE542,RetroReel,138,138,1,1,1,50.5,50.5,0.21
003IMVF953,RetroReel,135,135,1,1,1,12.0,12.0,0.05
003ISHD993,ChillStream,11,11,2,1,1,57.8,115.6,0.48
003JAJC959,TasteMakers,38,38,2,1,1,57.1,114.2,0.48
003JULQ288,DarkMatter,27,27,2,1,1,41.5,83.0,0.35
003KGDD155,PopCulture Now,74,74,1,1,1,50.6,50.6,0.21
003KHGQ561,RetroReel,115,115,1,1,1,61.0,61.0,0.25
003LTEX955,LimeLight,17,17,2,1,1,29.4,58.8,0.24
003OLXB119,Pulse,100,100,1,1,1,16.2,16.2,0.07
003ONER290,CineQuest,17,17,1,1,1,116.7,116.7,0.49
003OQIL707,Adrenaline,20,20,2,1,1,20.4,40.8,0.17
003PEJL373,Adrenaline,33,33,2,1,1,13.2,26.4,0.11
003PEJL373,DarkMatter,8,8,2,1,1,24.3,48.6,0.2
003QWIM114,DesignLab,137,137,1,1,1,37.4,37.4,0.16
003QWIM114,TasteMakers,84,84,1,1,1,92.1,92.1,0.38
003QYGK056,ChillStream,30,30,1,1,1,118.0,118.0,0.49
003QYJF278,PopCulture Now,37,37,2,1,1,42.9,85.8,0.36
003QZTI046,CineQuest,97,97,1,1,1,61.8,61.8,0.26
003TEQR186,CineQuest,13,13,2,1,1,75.6,151.2,0.63
003WCZV661,PopCulture Now,11,11,2,1,1,14.6,29.2,0.12
003XTUL243,CineQuest,18,18,2,1,1,63.4,126.8,0.53
003ZHRQ771,DesignLab,35,101,3,1,2,29.5,88.5,0.37
003ZUGW210,RetroReel,167,167,1,1,1,42.3,42.3,0.18
003ZZGJ163,ChillStream,39,39,1,1,1,64.3,64.3,0.27
003ZZGJ163,Pulse,135,135,1,1,1,72.8,72.8,0.3
004AMJN950,LimeLight,8,8,1,1,1,118.3,118.3,0.49
004DSTI887,Adrenaline,19,19,2,1,1,114.5,229.0,0.95
004DSTI887,DarkMatter,45,45,2,1,1,105.2,210.4,0.88
004ERWY396,CineQuest,25,25,2,1,1,16.5,33.0,0.14
004FWTC176,PopCulture Now,97,97,1,1,1,33.9,33.9,0.14
004FWTC176,TasteMakers,66,71,2,1,2,77.55,155.1,0.65
004GBPK269,CineQuest,119,119,1,1,1,59.6,59.6,0.25
004GNEP305,DesignLab,164,164,1,1,1,52.4,52.4,0.22
004GNEP305,TasteMakers,178,178,1,1,1,40.3,40.3,0.17
004HCBW603,DarkMatter,136,136,1,1,1,89.0,89.0,0.37
004ICTT264,TasteMakers,91,91,1,1,1,36.2,36.2,0.15
004IGAN061,DarkMatter,12,12,2,1,1,61.0,122.0,0.51
004IQKQ964,PopCulture Now,143,143,1,1,1,12.4,12.4,0.05
004IQKQ964,TasteMakers,51,51,1,1,1,91.0,91.0,0.38
004JKTR944,RetroReel,170,170,1,1,1,7.9,7.9,0.03
004JLID648,Adrenaline,13,13,2,1,1,41.4,82.8,0.34
004JLID648,DarkMatter,155,155,1,1,1,70.0,70.0,0.29
004JQHL248,RetroReel,27,27,2,1,1,12.2,24.4,0.1
004KIKD017,TasteMakers,24,24,2,1,1,28.4,56.8,0.24
004KOSU666,DarkMatter,90,90,1,1,1,87.8,87.8,0.37
004MEHA407,DarkMatter,16,16,2,1,1,90.7,181.4,0.76
